Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearSVC,0.8387096774193549,0.7733333333333333,0.7733333333333333,0.8432673317465944,0.025930166244506836
RidgeClassifierCV,0.8064516129032258,0.7533333333333333,0.7533333333333333,0.8162442396313362,0.045031070709228516
RidgeClassifier,0.8064516129032258,0.7533333333333333,0.7533333333333333,0.8162442396313362,0.018666505813598633
PassiveAggressiveClassifier,0.8064516129032258,0.7533333333333333,0.7533333333333333,0.8162442396313362,0.01600170135498047
CalibratedClassifierCV,0.8387096774193549,0.71,0.7100000000000001,0.8329595767925939,0.05638551712036133
Perceptron,0.7096774193548387,0.6933333333333334,0.6933333333333334,0.7362428842504743,0.01790761947631836
BernoulliNB,0.8064516129032258,0.69,0.6900000000000001,0.8064516129032258,0.015958786010742188
SGDClassifier,0.8064516129032258,0.69,0.6900000000000001,0.8064516129032258,0.018865585327148438
NearestCentroid,0.7741935483870968,0.6699999999999999,0.67,0.7805742644452323,0.014922380447387695
LogisticRegression,0.7419354838709677,0.65,0.6500000000000001,0.7549923195084486,0.02796483039855957
AdaBoostClassifier,0.8387096774193549,0.6466666666666666,0.6466666666666666,0.8163927774396428,0.3181493282318115
LinearDiscriminantAnalysis,0.7096774193548387,0.63,0.6300000000000001,0.7294440631434456,0.03989148139953613
GaussianNB,0.8064516129032258,0.6266666666666667,0.6266666666666666,0.7908188585607939,0.3470749855041504
KNeighborsClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.35005927085876465
ExtraTreesClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.4577789306640625
LGBMClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.10671496391296387
ExtraTreeClassifier,0.6774193548387096,0.5466666666666666,0.5466666666666666,0.6937403993855608,0.01894974708557129
BaggingClassifier,0.7419354838709677,0.5233333333333333,0.5233333333333334,0.721091811414392,0.08676767349243164
LabelSpreading,0.8064516129032258,0.5,0.5,0.7200460829493087,0.22938060760498047
LabelPropagation,0.8064516129032258,0.5,0.5,0.7200460829493087,0.2593097686767578
DummyClassifier,0.8064516129032258,0.5,0.5,0.7200460829493087,0.02090287208557129
SVC,0.8064516129032258,0.5,0.5,0.7200460829493087,0.016956567764282227
DecisionTreeClassifier,0.6774193548387096,0.48333333333333334,0.4833333333333334,0.6774193548387097,0.024935007095336914
RandomForestClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.14266109466552734
XGBClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.10272359848022461
QuadraticDiscriminantAnalysis,0.6129032258064516,0.4433333333333333,0.4433333333333333,0.6324884792626727,0.040895700454711914
