Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearSVC,0.7741935483870968,0.7333333333333334,0.7333333333333333,0.7895676046671243,0.027925729751586914
RidgeClassifierCV,0.7741935483870968,0.7333333333333334,0.7333333333333333,0.7895676046671243,0.03952622413635254
RidgeClassifier,0.7741935483870968,0.7333333333333334,0.7333333333333333,0.7895676046671243,0.038851022720336914
PassiveAggressiveClassifier,0.7741935483870968,0.7333333333333334,0.7333333333333333,0.7895676046671243,0.02799677848815918
BernoulliNB,0.8064516129032258,0.69,0.6900000000000001,0.8064516129032258,0.04288506507873535
LogisticRegression,0.7741935483870968,0.6699999999999999,0.67,0.7805742644452323,0.03686356544494629
LinearDiscriminantAnalysis,0.7419354838709677,0.65,0.6500000000000001,0.7549923195084486,0.05921149253845215
NearestCentroid,0.7419354838709677,0.65,0.6500000000000001,0.7549923195084486,0.02995753288269043
AdaBoostClassifier,0.8387096774193549,0.6466666666666666,0.6466666666666666,0.8163927774396428,0.3181498050689697
Perceptron,0.8064516129032258,0.6266666666666667,0.6266666666666666,0.7908188585607939,0.023983478546142578
SGDClassifier,0.8064516129032258,0.6266666666666667,0.6266666666666666,0.7908188585607939,0.0359041690826416
QuadraticDiscriminantAnalysis,0.6774193548387096,0.61,0.6100000000000001,0.7037166900420757,0.04066634178161621
CalibratedClassifierCV,0.7419354838709677,0.5866666666666667,0.5866666666666666,0.7419354838709676,0.06383037567138672
SVC,0.8387096774193549,0.5833333333333334,0.5833333333333334,0.7884373690825304,0.02892613410949707
RandomForestClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.1595761775970459
KNeighborsClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.6103649139404297
ExtraTreesClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.13962650299072266
LGBMClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.12367010116577148
GaussianNB,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.23338699340820312
DummyClassifier,0.8064516129032258,0.5,0.5,0.7200460829493087,0.04085087776184082
LabelPropagation,0.8064516129032258,0.5,0.5,0.7200460829493087,0.5535235404968262
LabelSpreading,0.8064516129032258,0.5,0.5,0.7200460829493087,0.15761351585388184
ExtraTreeClassifier,0.6774193548387096,0.48333333333333334,0.4833333333333334,0.6774193548387097,0.03291177749633789
DecisionTreeClassifier,0.6774193548387096,0.48333333333333334,0.4833333333333334,0.6774193548387097,0.031955718994140625
XGBClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.11764192581176758
BaggingClassifier,0.7419354838709677,0.46,0.46,0.6869772998805257,0.09474587440490723
