Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearSVC,0.8387096774193549,0.7733333333333333,0.7733333333333333,0.8432673317465944,0.027925729751586914
Perceptron,0.8387096774193549,0.7733333333333333,0.7733333333333333,0.8432673317465944,0.02308964729309082
RidgeClassifierCV,0.8064516129032258,0.7533333333333333,0.7533333333333333,0.8162442396313362,0.03596138954162598
RidgeClassifier,0.8064516129032258,0.7533333333333333,0.7533333333333333,0.8162442396313362,0.021768569946289062
PassiveAggressiveClassifier,0.7419354838709677,0.7133333333333334,0.7133333333333333,0.7629733520336606,0.025967836380004883
CalibratedClassifierCV,0.8387096774193549,0.71,0.7100000000000001,0.8329595767925939,0.07476043701171875
BernoulliNB,0.8064516129032258,0.69,0.6900000000000001,0.8064516129032258,0.02393651008605957
LinearDiscriminantAnalysis,0.7741935483870968,0.6699999999999999,0.67,0.7805742644452323,0.0558924674987793
SGDClassifier,0.7741935483870968,0.6699999999999999,0.67,0.7805742644452323,0.02455925941467285
NearestCentroid,0.7741935483870968,0.6699999999999999,0.67,0.7805742644452323,0.038895368576049805
LogisticRegression,0.7419354838709677,0.65,0.6500000000000001,0.7549923195084486,0.03486824035644531
AdaBoostClassifier,0.8387096774193549,0.6466666666666666,0.6466666666666666,0.8163927774396428,1.5827686786651611
GaussianNB,0.8064516129032258,0.6266666666666667,0.6266666666666666,0.7908188585607939,0.021941184997558594
ExtraTreesClassifier,0.8387096774193549,0.5833333333333334,0.5833333333333334,0.7884373690825304,0.12267184257507324
DecisionTreeClassifier,0.7096774193548387,0.5666666666666667,0.5666666666666667,0.7178811971438701,0.037897348403930664
KNeighborsClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.02892327308654785
LGBMClassifier,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.1186838150024414
ExtraTreeClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.021938323974609375
QuadraticDiscriminantAnalysis,0.6129032258064516,0.5066666666666667,0.5066666666666666,0.6444600280504911,0.045919179916381836
LabelSpreading,0.8064516129032258,0.5,0.5,0.7200460829493087,0.02293992042541504
LabelPropagation,0.8064516129032258,0.5,0.5,0.7200460829493087,0.030916452407836914
DummyClassifier,0.8064516129032258,0.5,0.5,0.7200460829493087,0.02194499969482422
SVC,0.8064516129032258,0.5,0.5,0.7200460829493087,0.02198052406311035
RandomForestClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.14760780334472656
XGBClassifier,0.7741935483870968,0.48,0.48,0.7038123167155426,0.1146540641784668
BaggingClassifier,0.7419354838709677,0.46,0.46,0.6869772998805257,0.0728449821472168
