Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RidgeClassifier,0.7741935483870968,0.7547619047619047,0.7547619047619047,0.7768161552583269,0.02495288848876953
RidgeClassifierCV,0.7741935483870968,0.7547619047619047,0.7547619047619047,0.7768161552583269,0.03085613250732422
BernoulliNB,0.8064516129032258,0.7261904761904762,0.7261904761904762,0.7906732117812062,0.02393627166748047
LinearSVC,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.020947933197021484
LogisticRegression,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.03687167167663574
SGDClassifier,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.01599884033203125
ExtraTreesClassifier,0.7741935483870968,0.6761904761904762,0.6761904761904762,0.7485701212537176,0.3430752754211426
PassiveAggressiveClassifier,0.6774193548387096,0.6571428571428571,0.6571428571428573,0.684017595307918,0.017821550369262695
Perceptron,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.018951416015625
NearestCentroid,0.7419354838709677,0.6523809523809524,0.6523809523809523,0.7208976157082749,0.018986225128173828
SVC,0.7741935483870968,0.65,0.65,0.7295285359801488,0.017952680587768555
GaussianNB,0.6129032258064516,0.6095238095238096,0.6095238095238096,0.6247877758913413,0.01894974708557129
CalibratedClassifierCV,0.6774193548387096,0.6047619047619048,0.6047619047619048,0.6668295861844248,0.25931215286254883
KNeighborsClassifier,0.7096774193548387,0.6023809523809524,0.6023809523809525,0.6767330130404942,0.019948959350585938
NuSVC,0.7419354838709677,0.6,0.6,0.6765591397849463,0.01894974708557129
LinearDiscriminantAnalysis,0.6129032258064516,0.5833333333333333,0.5833333333333333,0.6208211143695014,0.04842734336853027
DecisionTreeClassifier,0.6129032258064516,0.5833333333333333,0.5833333333333333,0.6208211143695014,0.3909482955932617
AdaBoostClassifier,0.6774193548387096,0.5785714285714285,0.5785714285714286,0.6511220196353437,0.1934833526611328
RandomForestClassifier,0.7096774193548387,0.5761904761904761,0.5761904761904761,0.65225097483162,0.1606135368347168
XGBClassifier,0.6774193548387096,0.5261904761904762,0.5261904761904761,0.5956989247311827,0.10368061065673828
LGBMClassifier,0.6774193548387096,0.5261904761904762,0.5261904761904761,0.5956989247311827,0.09873604774475098
QuadraticDiscriminantAnalysis,0.5483870967741935,0.5095238095238095,0.5095238095238095,0.5576246334310851,0.055899858474731445
ExtraTreeClassifier,0.6129032258064516,0.5047619047619047,0.5047619047619047,0.5813464235624125,0.2403557300567627
LabelSpreading,0.3225806451612903,0.5,0.5,0.15735641227380015,0.017997026443481445
LabelPropagation,0.3225806451612903,0.5,0.5,0.15735641227380015,0.019942760467529297
DummyClassifier,0.6774193548387096,0.5,0.5,0.5471464019851118,0.2742648124694824
BaggingClassifier,0.5806451612903226,0.4809523809523809,0.4809523809523809,0.5576217583807717,0.07978510856628418
