Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RidgeClassifier,0.7741935483870968,0.7547619047619047,0.7547619047619047,0.7768161552583269,0.029479265213012695
BernoulliNB,0.8064516129032258,0.7261904761904762,0.7261904761904762,0.7906732117812062,0.026888608932495117
PassiveAggressiveClassifier,0.7096774193548387,0.7071428571428571,0.7071428571428571,0.7174452475995252,0.03298234939575195
CalibratedClassifierCV,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.06459975242614746
LogisticRegression,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.04803967475891113
RidgeClassifierCV,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.03686237335205078
SGDClassifier,0.7096774193548387,0.680952380952381,0.680952380952381,0.7130493424749915,0.030956745147705078
LinearSVC,0.7096774193548387,0.680952380952381,0.680952380952381,0.7130493424749915,0.02793264389038086
ExtraTreesClassifier,0.7741935483870968,0.6761904761904762,0.6761904761904762,0.7485701212537176,0.14058589935302734
Perceptron,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.026967525482177734
ExtraTreeClassifier,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.026927471160888672
NearestCentroid,0.7419354838709677,0.6523809523809524,0.6523809523809523,0.7208976157082749,0.02397608757019043
SVC,0.7741935483870968,0.65,0.65,0.7295285359801488,0.03690195083618164
RandomForestClassifier,0.7419354838709677,0.6261904761904762,0.6261904761904762,0.7027649769585254,0.19647717475891113
GaussianNB,0.6129032258064516,0.6095238095238096,0.6095238095238096,0.6247877758913413,0.031915903091430664
KNeighborsClassifier,0.7096774193548387,0.6023809523809524,0.6023809523809525,0.6767330130404942,0.037897348403930664
NuSVC,0.7419354838709677,0.6,0.6,0.6765591397849463,0.02788686752319336
DecisionTreeClassifier,0.6129032258064516,0.5833333333333333,0.5833333333333333,0.6208211143695014,0.03294968605041504
AdaBoostClassifier,0.6774193548387096,0.5785714285714285,0.5785714285714286,0.6511220196353437,0.19751358032226562
LinearDiscriminantAnalysis,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.05433177947998047
QuadraticDiscriminantAnalysis,0.6129032258064516,0.530952380952381,0.530952380952381,0.6001955034213099,0.04250812530517578
LGBMClassifier,0.6774193548387096,0.5261904761904762,0.5261904761904761,0.5956989247311827,0.12865471839904785
LabelSpreading,0.3225806451612903,0.5,0.5,0.15735641227380015,0.049868106842041016
LabelPropagation,0.3225806451612903,0.5,0.5,0.15735641227380015,0.03789806365966797
DummyClassifier,0.6774193548387096,0.5,0.5,0.5471464019851118,0.030921220779418945
BaggingClassifier,0.5806451612903226,0.4809523809523809,0.4809523809523809,0.5576217583807717,0.08876276016235352
XGBClassifier,0.6129032258064516,0.47857142857142854,0.47857142857142854,0.554147465437788,0.12662243843078613
