Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RidgeClassifier,0.7741935483870968,0.7547619047619047,0.7547619047619047,0.7768161552583269,0.02187371253967285
RidgeClassifierCV,0.7741935483870968,0.7547619047619047,0.7547619047619047,0.7768161552583269,0.034906625747680664
BernoulliNB,0.8064516129032258,0.7261904761904762,0.7261904761904762,0.7906732117812062,0.030918121337890625
LogisticRegression,0.7419354838709677,0.7047619047619047,0.7047619047619047,0.7419354838709677,0.05095958709716797
QuadraticDiscriminantAnalysis,0.7741935483870968,0.7023809523809523,0.7023809523809523,0.7617963314358002,0.03611254692077637
LinearSVC,0.7096774193548387,0.680952380952381,0.680952380952381,0.7130493424749915,0.030687332153320312
ExtraTreesClassifier,0.7741935483870968,0.6761904761904762,0.6761904761904762,0.7485701212537176,1.3822968006134033
PassiveAggressiveClassifier,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.023029327392578125
CalibratedClassifierCV,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.0528569221496582
NearestCentroid,0.7419354838709677,0.6523809523809524,0.6523809523809523,0.7208976157082749,0.019986391067504883
SVC,0.7741935483870968,0.65,0.65,0.7295285359801488,0.024971961975097656
Perceptron,0.6774193548387096,0.6309523809523809,0.6309523809523809,0.6774193548387096,0.021696805953979492
ExtraTreeClassifier,0.7096774193548387,0.6285714285714286,0.6285714285714286,0.6937381404174573,0.18750452995300293
GaussianNB,0.6129032258064516,0.6095238095238096,0.6095238095238096,0.6247877758913413,0.021941661834716797
KNeighborsClassifier,0.7096774193548387,0.6023809523809524,0.6023809523809525,0.6767330130404942,0.029918670654296875
NuSVC,0.7419354838709677,0.6,0.6,0.6765591397849463,0.029920101165771484
DecisionTreeClassifier,0.6129032258064516,0.5833333333333333,0.5833333333333333,0.6208211143695014,0.06283283233642578
SGDClassifier,0.6451612903225806,0.5809523809523809,0.5809523809523809,0.6399494610494728,0.02653646469116211
AdaBoostClassifier,0.6774193548387096,0.5785714285714285,0.5785714285714286,0.6511220196353437,0.3390944004058838
RandomForestClassifier,0.7096774193548387,0.5761904761904761,0.5761904761904761,0.65225097483162,0.15658092498779297
LinearDiscriminantAnalysis,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.04601740837097168
XGBClassifier,0.6774193548387096,0.5261904761904762,0.5261904761904761,0.5956989247311827,0.12163615226745605
LGBMClassifier,0.6774193548387096,0.5261904761904762,0.5261904761904761,0.5956989247311827,0.11269831657409668
BaggingClassifier,0.6129032258064516,0.5047619047619047,0.5047619047619047,0.5813464235624125,0.11269807815551758
LabelSpreading,0.3225806451612903,0.5,0.5,0.15735641227380015,0.021937847137451172
LabelPropagation,0.3225806451612903,0.5,0.5,0.15735641227380015,0.021986722946166992
DummyClassifier,0.6774193548387096,0.5,0.5,0.5471464019851118,0.03191518783569336
