Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
DecisionTreeClassifier,0.8064516129032258,0.7681818181818182,0.7681818181818182,0.8013824884792629,0.023975610733032227
LinearDiscriminantAnalysis,0.7419354838709677,0.7386363636363636,0.7386363636363636,0.7458970005659309,0.04612874984741211
XGBClassifier,0.7419354838709677,0.6772727272727272,0.6772727272727272,0.724991854024112,0.1296534538269043
LGBMClassifier,0.7096774193548387,0.6318181818181818,0.631818181818182,0.683111954459203,0.11269903182983398
ExtraTreesClassifier,0.7096774193548387,0.6318181818181818,0.631818181818182,0.683111954459203,0.1296529769897461
BaggingClassifier,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.07979083061218262
BernoulliNB,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.0179898738861084
RidgeClassifier,0.6129032258064516,0.5568181818181819,0.5568181818181819,0.6027649769585254,0.019086122512817383
QuadraticDiscriminantAnalysis,0.5483870967741935,0.5477272727272727,0.5477272727272727,0.5580369451337194,0.03402447700500488
RidgeClassifierCV,0.5806451612903226,0.5113636363636364,0.5113636363636364,0.5621668575038496,0.034008026123046875
SGDClassifier,0.5806451612903226,0.5113636363636364,0.5113636363636364,0.5621668575038496,0.01691579818725586
NearestCentroid,0.5161290322580645,0.5022727272727273,0.5022727272727273,0.5255448997384482,0.015996456146240234
LabelSpreading,0.6451612903225806,0.5,0.5,0.5060088551549652,0.01899123191833496
LabelPropagation,0.6451612903225806,0.5,0.5,0.5060088551549652,0.01990652084350586
SVC,0.6451612903225806,0.5,0.5,0.5060088551549652,0.017950057983398438
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.017954587936401367
CalibratedClassifierCV,0.6129032258064516,0.4954545454545455,0.4954545454545454,0.5345622119815668,0.04956841468811035
RandomForestClassifier,0.6129032258064516,0.4954545454545455,0.4954545454545454,0.5345622119815668,0.15953278541564941
AdaBoostClassifier,0.5483870967741935,0.46590909090909094,0.46590909090909094,0.5187357445421961,0.19747042655944824
LogisticRegression,0.5483870967741935,0.46590909090909094,0.46590909090909094,0.5187357445421961,0.03727555274963379
PassiveAggressiveClassifier,0.5161290322580645,0.46136363636363636,0.46136363636363636,0.5105091603911431,0.017801284790039062
LinearSVC,0.5161290322580645,0.46136363636363636,0.46136363636363636,0.5105091603911431,0.026944637298583984
GaussianNB,0.3870967741935484,0.4431818181818182,0.4431818181818182,0.3730070448646644,0.02891850471496582
Perceptron,0.4838709677419355,0.43636363636363634,0.43636363636363634,0.4838709677419355,0.02098846435546875
NuSVC,0.5483870967741935,0.425,0.425,0.4569892473118279,0.01695561408996582
ExtraTreeClassifier,0.5161290322580645,0.42045454545454547,0.4204545454545454,0.471853257432005,0.0169527530670166
KNeighborsClassifier,0.45161290322580644,0.3704545454545455,0.3704545454545455,0.4274489675050342,0.025967121124267578
