Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.7741935483870968,0.825,0.825,0.777496882057505,0.025931835174560547
SVC,0.8064516129032258,0.8090909090909091,0.8090909090909091,0.8094227504244483,0.03295326232910156
BernoulliNB,0.6774193548387096,0.75,0.75,0.6740591397849462,0.3889601230621338
LinearDiscriminantAnalysis,0.7096774193548387,0.7340909090909091,0.734090909090909,0.7158218125960061,0.058322906494140625
KNeighborsClassifier,0.6774193548387096,0.7295454545454545,0.7295454545454546,0.6801075268817204,0.027968645095825195
BaggingClassifier,0.6774193548387096,0.7090909090909091,0.7090909090909091,0.6835185687178096,0.2333385944366455
RandomForestClassifier,0.6451612903225806,0.7045454545454546,0.7045454545454545,0.6451612903225806,0.15558171272277832
LinearSVC,0.6774193548387096,0.6886363636363637,0.6886363636363636,0.6843121036669425,0.05684924125671387
RidgeClassifierCV,0.6774193548387096,0.6886363636363637,0.6886363636363636,0.6843121036669425,0.03768110275268555
PassiveAggressiveClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.032021284103393555
LogisticRegression,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.05485200881958008
RidgeClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.039316415786743164
ExtraTreesClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.1655590534210205
NuSVC,0.6774193548387096,0.6477272727272727,0.6477272727272727,0.6774193548387096,0.028922080993652344
XGBClassifier,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.13759326934814453
GaussianNB,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.04188680648803711
Perceptron,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.026930570602416992
SGDClassifier,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.03759312629699707
ExtraTreeClassifier,0.5806451612903226,0.6136363636363636,0.6136363636363635,0.5867799238210806,0.028918743133544922
CalibratedClassifierCV,0.6451612903225806,0.6022727272727273,0.6022727272727273,0.6410400509535049,0.7431795597076416
AdaBoostClassifier,0.5483870967741935,0.5886363636363636,0.5886363636363636,0.5521505376344086,0.20050883293151855
DecisionTreeClassifier,0.5806451612903226,0.5522727272727272,0.5522727272727272,0.584385226741468,0.11069917678833008
LGBMClassifier,0.5161290322580645,0.5227272727272727,0.5227272727272727,0.5263696876600104,0.12067699432373047
LabelSpreading,0.3548387096774194,0.5,0.5,0.1858678955453149,0.02593088150024414
LabelPropagation,0.3548387096774194,0.5,0.5,0.1858678955453149,0.025928974151611328
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.06682205200195312
QuadraticDiscriminantAnalysis,0.3548387096774194,0.3568181818181818,0.3568181818181818,0.3670371374356194,0.04025459289550781
