Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.7419354838709677,0.8,0.8,0.7440860215053762,0.01898980140686035
SVC,0.7741935483870968,0.7840909090909092,0.784090909090909,0.7785876198779424,0.02198624610900879
BernoulliNB,0.6774193548387096,0.75,0.75,0.6740591397849462,0.054854393005371094
BaggingClassifier,0.6774193548387096,0.7295454545454545,0.7295454545454546,0.6801075268817204,1.077111005783081
RandomForestClassifier,0.6774193548387096,0.7090909090909091,0.7090909090909091,0.6835185687178096,0.16252422332763672
ExtraTreesClassifier,0.6451612903225806,0.6840909090909091,0.6840909090909091,0.6503522432332222,0.1505873203277588
NuSVC,0.7096774193548387,0.6727272727272727,0.6727272727272727,0.7063054962346859,0.022936344146728516
KNeighborsClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.02297234535217285
LinearDiscriminantAnalysis,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.046276092529296875
LogisticRegression,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.03573966026306152
PassiveAggressiveClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.029369831085205078
DecisionTreeClassifier,0.7096774193548387,0.6522727272727272,0.6522727272727273,0.6968847475026652,0.02692699432373047
RidgeClassifierCV,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.032590627670288086
GaussianNB,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.025936365127563477
SGDClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.022664785385131836
RidgeClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818183,0.6211745244003308,0.028916120529174805
LinearSVC,0.6129032258064516,0.6181818181818182,0.6181818181818183,0.6211745244003308,0.03134775161743164
CalibratedClassifierCV,0.6451612903225806,0.6022727272727273,0.6022727272727273,0.6410400509535049,0.06283044815063477
AdaBoostClassifier,0.5483870967741935,0.5886363636363636,0.5886363636363636,0.5521505376344086,0.6023960113525391
Perceptron,0.5806451612903226,0.5727272727272728,0.5727272727272728,0.5888055797733216,0.020984649658203125
XGBClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818182,0.5569259962049335,0.13459563255310059
ExtraTreeClassifier,0.5161290322580645,0.5636363636363637,0.5636363636363636,0.5161290322580645,0.02693796157836914
LGBMClassifier,0.5161290322580645,0.5227272727272727,0.5227272727272727,0.5263696876600104,0.1077117919921875
LabelSpreading,0.3548387096774194,0.5,0.5,0.1858678955453149,0.026927947998046875
LabelPropagation,0.3548387096774194,0.5,0.5,0.1858678955453149,0.02190375328063965
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.017951488494873047
QuadraticDiscriminantAnalysis,0.3548387096774194,0.33636363636363636,0.33636363636363636,0.36862420733388473,0.03497624397277832
