Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
QuadraticDiscriminantAnalysis,0.7741935483870968,0.8653846153846154,0.8653846153846154,0.8031203879401222,0.031888723373413086
SGDClassifier,0.9032258064516129,0.7807692307692308,0.7807692307692308,0.8987624264556705,0.016988754272460938
LinearSVC,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.021985530853271484
NearestCentroid,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.019898653030395508
BernoulliNB,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.016952991485595703
LogisticRegression,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.05102968215942383
ExtraTreeClassifier,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.016993045806884766
RidgeClassifierCV,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.028827190399169922
RidgeClassifier,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.021824359893798828
PassiveAggressiveClassifier,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.026926755905151367
Perceptron,0.7741935483870968,0.7038461538461538,0.7038461538461539,0.793335696561503,0.016715049743652344
SVC,0.9032258064516129,0.7,0.7,0.8851277754503561,0.01699662208557129
LinearDiscriminantAnalysis,0.7419354838709677,0.6846153846153846,0.6846153846153846,0.7680491551459292,0.04555773735046387
XGBClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.10866761207580566
RandomForestClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.14066600799560547
LGBMClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.12366890907287598
GaussianNB,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.02389240264892578
ExtraTreesClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.10871505737304688
AdaBoostClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.20644593238830566
KNeighborsClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.022938966751098633
CalibratedClassifierCV,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.05120205879211426
LabelSpreading,0.8387096774193549,0.5,0.5,0.7651386530843237,0.017948150634765625
LabelPropagation,0.8387096774193549,0.5,0.5,0.7651386530843237,0.02098846435546875
DummyClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.014960289001464844
BaggingClassifier,0.8064516129032258,0.4807692307692308,0.4807692307692308,0.7488479262672811,0.08078598976135254
DecisionTreeClassifier,0.6451612903225806,0.38461538461538464,0.3846153846153846,0.6578115117014547,0.022900819778442383
