Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.022940397262573242
PassiveAggressiveClassifier,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.023027420043945312
NearestCentroid,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.048871517181396484
LogisticRegression,0.8387096774193549,0.7423076923076923,0.7423076923076923,0.8444597780461158,0.03575587272644043
RidgeClassifierCV,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.04188942909240723
RidgeClassifier,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.022939443588256836
Perceptron,0.8064516129032258,0.7230769230769231,0.7230769230769232,0.8187096774193547,0.02150249481201172
LinearSVC,0.7741935483870968,0.7038461538461538,0.7038461538461539,0.793335696561503,0.026409387588500977
LinearDiscriminantAnalysis,0.7741935483870968,0.7038461538461538,0.7038461538461539,0.793335696561503,0.06069469451904297
SVC,0.9032258064516129,0.7,0.7,0.8851277754503561,0.025931596755981445
RandomForestClassifier,0.9032258064516129,0.7,0.7,0.8851277754503561,0.26130104064941406
XGBClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.12067699432373047
LGBMClassifier,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.1186821460723877
GaussianNB,0.8709677419354839,0.6807692307692308,0.6807692307692307,0.8572281959378734,0.02892136573791504
QuadraticDiscriminantAnalysis,0.7096774193548387,0.6653846153846154,0.6653846153846155,0.7426218256691832,0.056122541427612305
ExtraTreesClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.1266629695892334
SGDClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.04786968231201172
AdaBoostClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.21347498893737793
KNeighborsClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.03091883659362793
DecisionTreeClassifier,0.7419354838709677,0.6038461538461539,0.6038461538461538,0.7582795698924732,0.027887344360351562
BaggingClassifier,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.07275915145874023
ExtraTreeClassifier,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.02098369598388672
CalibratedClassifierCV,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.07057571411132812
LabelSpreading,0.8387096774193549,0.5,0.5,0.7651386530843237,0.023935317993164062
LabelPropagation,0.8387096774193549,0.5,0.5,0.7651386530843237,0.027926921844482422
DummyClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.02193927764892578
