Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.31017065048217773
SVC,0.7096774193548387,0.6911764705882353,0.6911764705882353,0.6967310389470278,0.02094435691833496
LinearSVC,0.6774193548387096,0.6743697478991597,0.6743697478991596,0.6774193548387096,0.022937536239624023
PassiveAggressiveClassifier,0.6774193548387096,0.6743697478991597,0.6743697478991596,0.6774193548387096,0.020905494689941406
KNeighborsClassifier,0.6774193548387096,0.6743697478991597,0.6743697478991596,0.6774193548387096,0.029919862747192383
LogisticRegression,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.04068136215209961
NearestCentroid,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.017952442169189453
LinearDiscriminantAnalysis,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.04887056350708008
RidgeClassifierCV,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.031000137329101562
Perceptron,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.016993284225463867
ExtraTreesClassifier,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.1466083526611328
NuSVC,0.6451612903225806,0.6260504201680672,0.6260504201680672,0.6293379364908117,0.02098250389099121
AdaBoostClassifier,0.6451612903225806,0.6260504201680672,0.6260504201680672,0.6293379364908117,0.22240757942199707
ExtraTreeClassifier,0.6451612903225806,0.6260504201680672,0.6260504201680672,0.6293379364908117,0.03490614891052246
RidgeClassifier,0.6129032258064516,0.6092436974789917,0.6092436974789915,0.6129032258064516,0.018947362899780273
LGBMClassifier,0.6129032258064516,0.6029411764705883,0.6029411764705881,0.608767576509512,0.10172820091247559
BaggingClassifier,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.44481849670410156
RandomForestClassifier,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.14660978317260742
SGDClassifier,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.016307830810546875
XGBClassifier,0.5806451612903226,0.5672268907563025,0.5672268907563025,0.5724847428073233,0.1296534538269043
CalibratedClassifierCV,0.5806451612903226,0.5483193277310924,0.5483193277310924,0.5252102499309038,0.836759090423584
GaussianNB,0.5161290322580645,0.5273109243697479,0.5273109243697479,0.5110729092931541,0.016954421997070312
QuadraticDiscriminantAnalysis,0.5161290322580645,0.5273109243697479,0.5273109243697479,0.5110729092931541,0.03291463851928711
LabelSpreading,0.5483870967741935,0.5,0.5,0.38844086021505375,0.028922557830810547
LabelPropagation,0.5483870967741935,0.5,0.5,0.38844086021505375,0.021941423416137695
DummyClassifier,0.5483870967741935,0.5,0.5,0.38844086021505375,0.03889608383178711
DecisionTreeClassifier,0.41935483870967744,0.4012605042016807,0.4012605042016807,0.40152801358234297,0.07679438591003418
