Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.02489471435546875
KNeighborsClassifier,0.7419354838709677,0.7331932773109244,0.7331932773109243,0.7391783843396746,0.026969432830810547
SVC,0.7096774193548387,0.6911764705882353,0.6911764705882353,0.6967310389470278,0.03291678428649902
NearestCentroid,0.6774193548387096,0.6743697478991597,0.6743697478991596,0.6774193548387096,0.0329129695892334
LinearSVC,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.02993631362915039
LogisticRegression,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.045180559158325195
PassiveAggressiveClassifier,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.03521895408630371
XGBClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.15558171272277832
SGDClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.028920412063598633
RidgeClassifierCV,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.042832374572753906
ExtraTreesClassifier,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.13467836380004883
NuSVC,0.6451612903225806,0.6260504201680672,0.6260504201680672,0.6293379364908117,0.05086350440979004
AdaBoostClassifier,0.6451612903225806,0.6260504201680672,0.6260504201680672,0.6293379364908117,0.47172999382019043
RidgeClassifier,0.6129032258064516,0.6092436974789917,0.6092436974789915,0.6129032258064516,0.03486895561218262
LGBMClassifier,0.6129032258064516,0.6029411764705883,0.6029411764705881,0.608767576509512,0.12067890167236328
Perceptron,0.5806451612903226,0.5798319327731092,0.5798319327731093,0.5815215559375737,0.032881975173950195
ExtraTreeClassifier,0.5806451612903226,0.5672268907563025,0.5672268907563025,0.5724847428073233,0.051862478256225586
QuadraticDiscriminantAnalysis,0.5483870967741935,0.5630252100840336,0.5630252100840336,0.5398481973434535,0.043895721435546875
BaggingClassifier,0.5806451612903226,0.5609243697478992,0.5609243697478992,0.5619448340345956,0.09378886222839355
RandomForestClassifier,0.5806451612903226,0.5609243697478992,0.5609243697478992,0.5619448340345956,0.19449639320373535
LinearDiscriminantAnalysis,0.5483870967741935,0.5441176470588236,0.5441176470588235,0.5483870967741935,0.061966896057128906
GaussianNB,0.5161290322580645,0.5273109243697479,0.5273109243697479,0.5110729092931541,0.032871246337890625
CalibratedClassifierCV,0.5483870967741935,0.51890756302521,0.51890756302521,0.5010752688172042,0.06352567672729492
LabelSpreading,0.5483870967741935,0.5,0.5,0.38844086021505375,0.027883052825927734
LabelPropagation,0.5483870967741935,0.5,0.5,0.38844086021505375,0.02593088150024414
DummyClassifier,0.5483870967741935,0.5,0.5,0.38844086021505375,0.03490805625915527
DecisionTreeClassifier,0.3870967741935484,0.365546218487395,0.36554621848739494,0.35976552666594747,0.03686118125915527
