Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.5483870967741935,0.4523809523809524,,0.5141321044546852,0.16156959533691406
RandomForestClassifier,0.5161290322580645,0.36904761904761907,,0.45806451612903226,0.27921366691589355
LGBMClassifier,0.45161290322580644,0.32936507936507936,,0.4457245263696877,3.556455612182617
BernoulliNB,0.3548387096774194,0.2698412698412698,,0.3136200716845878,0.023895978927612305
DecisionTreeClassifier,0.3225806451612903,0.24206349206349204,,0.32150537634408605,0.06279397010803223
BaggingClassifier,0.3870967741935484,0.2341269841269841,,0.35576036866359445,0.33310699462890625
RidgeClassifierCV,0.2903225806451613,0.2341269841269841,,0.26344086021505375,0.029596805572509766
NearestCentroid,0.25806451612903225,0.22222222222222218,,0.269431643625192,0.15957283973693848
PassiveAggressiveClassifier,0.2903225806451613,0.20238095238095238,,0.22419354838709676,0.7600009441375732
LogisticRegression,0.2903225806451613,0.20238095238095238,,0.27956989247311825,0.8155391216278076
LinearSVC,0.2903225806451613,0.20238095238095238,,0.2306451612903226,0.4308936595916748
GaussianNB,0.2903225806451613,0.19841269841269837,,0.22580645161290322,0.021899700164794922
LinearDiscriminantAnalysis,0.2903225806451613,0.19444444444444442,,0.32565284178187404,0.039920806884765625
RidgeClassifier,0.25806451612903225,0.1865079365079365,,0.24193548387096775,0.022979021072387695
Perceptron,0.25806451612903225,0.17857142857142858,,0.21774193548387097,0.07779192924499512
CalibratedClassifierCV,0.25806451612903225,0.14285714285714285,,0.18509984639016894,2.645925760269165
KNeighborsClassifier,0.22580645161290322,0.1388888888888889,,0.1774193548387097,0.02198171615600586
SVC,0.1935483870967742,0.11111111111111109,,0.1147732585320243,0.03689694404602051
ExtraTreeClassifier,0.16129032258064516,0.09523809523809523,,0.13620071684587814,0.014961481094360352
AdaBoostClassifier,0.16129032258064516,0.09523809523809523,,0.13082437275985662,0.35509443283081055
SGDClassifier,0.1935483870967742,0.09126984126984126,,0.20092165898617512,0.065826416015625
DummyClassifier,0.12903225806451613,0.047619047619047616,,0.02949308755760369,0.014998674392700195
LabelSpreading,0.0,0.0,,0.0,0.018949031829833984
LabelPropagation,0.0,0.0,,0.0,0.01990962028503418
