Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.5161290322580645,0.40476190476190477,,0.44946236559139785,0.17050528526306152
DecisionTreeClassifier,0.41935483870967744,0.3849206349206349,,0.4075268817204301,0.0688164234161377
RandomForestClassifier,0.5161290322580645,0.36904761904761907,,0.44946236559139785,0.27031469345092773
LGBMClassifier,0.45161290322580644,0.32936507936507936,,0.4457245263696877,3.8457236289978027
BernoulliNB,0.3548387096774194,0.2698412698412698,,0.3136200716845878,0.02898406982421875
BaggingClassifier,0.3870967741935484,0.2658730158730159,,0.3426523297491039,0.34113121032714844
LinearSVC,0.3225806451612903,0.25,,0.28225806451612906,0.4438662528991699
RidgeClassifierCV,0.2903225806451613,0.2341269841269841,,0.26344086021505375,0.03292441368103027
NearestCentroid,0.25806451612903225,0.22222222222222218,,0.269431643625192,0.021980762481689453
PassiveAggressiveClassifier,0.2903225806451613,0.20238095238095238,,0.2306451612903226,0.15059638023376465
LogisticRegression,0.2903225806451613,0.20238095238095238,,0.27956989247311825,0.4132509231567383
GaussianNB,0.2903225806451613,0.19841269841269837,,0.22580645161290322,0.033915042877197266
LinearDiscriminantAnalysis,0.2903225806451613,0.19444444444444442,,0.32565284178187404,0.10368108749389648
Perceptron,0.25806451612903225,0.1865079365079365,,0.24731182795698922,0.08278107643127441
RidgeClassifier,0.25806451612903225,0.1865079365079365,,0.24193548387096775,0.029883146286010742
SGDClassifier,0.25806451612903225,0.1865079365079365,,0.2709677419354839,0.07085609436035156
ExtraTreeClassifier,0.22580645161290322,0.1746031746031746,,0.2064516129032258,0.025974035263061523
CalibratedClassifierCV,0.25806451612903225,0.15079365079365079,,0.2279569892473118,2.6807713508605957
KNeighborsClassifier,0.22580645161290322,0.1388888888888889,,0.1774193548387097,0.021942138671875
SVC,0.1935483870967742,0.11111111111111109,,0.1147732585320243,0.04188871383666992
AdaBoostClassifier,0.16129032258064516,0.09523809523809523,,0.13082437275985662,0.37400150299072266
DummyClassifier,0.12903225806451613,0.047619047619047616,,0.02949308755760369,0.018949031829833984
LabelSpreading,0.0,0.0,,0.0,0.023975610733032227
LabelPropagation,0.0,0.0,,0.0,0.021939516067504883
