Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RandomForestClassifier,0.5483870967741935,0.4523809523809524,,0.5093189964157706,0.2663266658782959
ExtraTreesClassifier,0.5483870967741935,0.4523809523809524,,0.4731182795698924,0.15458965301513672
LGBMClassifier,0.4838709677419355,0.376984126984127,,0.4672299027137737,3.7390058040618896
DecisionTreeClassifier,0.3870967741935484,0.33730158730158727,,0.3967741935483871,0.07480025291442871
BernoulliNB,0.3548387096774194,0.2698412698412698,,0.3136200716845878,0.027925729751586914
RidgeClassifierCV,0.2903225806451613,0.2341269841269841,,0.26344086021505375,0.03706789016723633
LinearSVC,0.2903225806451613,0.2341269841269841,,0.26344086021505375,0.3560323715209961
NearestCentroid,0.25806451612903225,0.22222222222222218,,0.269431643625192,0.028924226760864258
LogisticRegression,0.2903225806451613,0.20238095238095238,,0.27956989247311825,0.41458821296691895
BaggingClassifier,0.3870967741935484,0.19841269841269837,,0.3419354838709678,0.4697439670562744
GaussianNB,0.2903225806451613,0.19841269841269837,,0.2380952380952381,0.03191113471984863
LinearDiscriminantAnalysis,0.2903225806451613,0.19444444444444442,,0.3202764976958525,0.050536394119262695
PassiveAggressiveClassifier,0.25806451612903225,0.1865079365079365,,0.23548387096774195,0.12969350814819336
RidgeClassifier,0.25806451612903225,0.1865079365079365,,0.24193548387096775,0.030918359756469727
CalibratedClassifierCV,0.25806451612903225,0.15079365079365079,,0.19922013470400565,2.517270803451538
ExtraTreeClassifier,0.16129032258064516,0.14682539682539683,,0.18202764976958527,0.027964115142822266
KNeighborsClassifier,0.22580645161290322,0.1388888888888889,,0.1774193548387097,0.023895740509033203
Perceptron,0.22580645161290322,0.12698412698412698,,0.19326909649490295,0.08273720741271973
SVC,0.1935483870967742,0.11111111111111109,,0.1147732585320243,0.04288816452026367
SGDClassifier,0.16129032258064516,0.10317460317460317,,0.15627240143369178,0.06881546974182129
AdaBoostClassifier,0.16129032258064516,0.09523809523809523,,0.13620071684587814,1.7842309474945068
DummyClassifier,0.12903225806451613,0.047619047619047616,,0.02949308755760369,0.029921531677246094
LabelSpreading,0.0,0.0,,0.0,0.02293872833251953
LabelPropagation,0.0,0.0,,0.0,0.021943330764770508
