Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.7096774193548387,0.7545454545454545,0.7545454545454546,0.7139245626453636,0.035901546478271484
Perceptron,0.7096774193548387,0.7340909090909091,0.7340909090909091,0.7158218125960061,0.018947124481201172
PassiveAggressiveClassifier,0.6774193548387096,0.7295454545454545,0.7295454545454545,0.6801075268817204,0.019988536834716797
SGDClassifier,0.6774193548387096,0.7295454545454545,0.7295454545454545,0.6801075268817204,0.01695537567138672
BernoulliNB,0.7419354838709677,0.7181818181818183,0.7181818181818181,0.7419354838709679,0.016953706741333008
CalibratedClassifierCV,0.6451612903225806,0.7045454545454546,0.7045454545454546,0.6451612903225806,0.047454118728637695
BaggingClassifier,0.7096774193548387,0.6931818181818181,0.6931818181818181,0.7122666954364009,0.06786036491394043
GaussianNB,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.02393484115600586
RandomForestClassifier,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.15957260131835938
DecisionTreeClassifier,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.02393627166748047
QuadraticDiscriminantAnalysis,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.03187727928161621
LinearDiscriminantAnalysis,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.04887056350708008
ExtraTreesClassifier,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,1.9527406692504883
NearestCentroid,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.02095818519592285
KNeighborsClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.024933815002441406
RidgeClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.01976323127746582
LGBMClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.10571718215942383
RidgeClassifierCV,0.5806451612903226,0.6136363636363636,0.6136363636363636,0.5867799238210806,0.027727603912353516
LinearSVC,0.5806451612903226,0.6136363636363636,0.6136363636363636,0.5867799238210806,0.020984172821044922
NuSVC,0.5483870967741935,0.6090909090909091,0.6090909090909091,0.5436827956989246,0.01993274688720703
XGBClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.13364338874816895
AdaBoostClassifier,0.5806451612903226,0.5931818181818183,0.5931818181818183,0.5895203959720089,0.20046424865722656
ExtraTreeClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.01595902442932129
SVC,0.5161290322580645,0.5636363636363637,0.5636363636363636,0.5161290322580645,0.02892160415649414
LabelSpreading,0.6451612903225806,0.5,0.5,0.5060088551549652,0.03291130065917969
LabelPropagation,0.6451612903225806,0.5,0.5,0.5060088551549652,0.017953157424926758
DummyClassifier,0.3548387096774194,0.5,0.5,0.1858678955453149,0.017988920211791992
