Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
Perceptron,0.7096774193548387,0.7545454545454545,0.7545454545454546,0.7139245626453636,0.021940231323242188
LogisticRegression,0.7096774193548387,0.7545454545454545,0.7545454545454546,0.7139245626453636,0.03838801383972168
SGDClassifier,0.7096774193548387,0.7545454545454545,0.7545454545454546,0.7139245626453636,0.026970386505126953
PassiveAggressiveClassifier,0.6774193548387096,0.7295454545454545,0.7295454545454545,0.6801075268817204,0.021940946578979492
BernoulliNB,0.7419354838709677,0.7181818181818183,0.7181818181818181,0.7419354838709679,0.02094411849975586
BaggingClassifier,0.7096774193548387,0.7136363636363636,0.7136363636363636,0.7153269398430688,0.06981348991394043
CalibratedClassifierCV,0.6451612903225806,0.7045454545454546,0.7045454545454546,0.6451612903225806,0.04957747459411621
GaussianNB,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.08976578712463379
ExtraTreeClassifier,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.019946813583374023
DecisionTreeClassifier,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.031950950622558594
ExtraTreesClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.12163519859313965
NearestCentroid,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.027966737747192383
KNeighborsClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.3750030994415283
RidgeClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.023635387420654297
RandomForestClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.1745772361755371
LGBMClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.10671472549438477
RidgeClassifierCV,0.5806451612903226,0.6136363636363636,0.6136363636363636,0.5867799238210806,0.030892610549926758
LinearSVC,0.5806451612903226,0.6136363636363636,0.6136363636363636,0.5867799238210806,0.025931596755981445
LinearDiscriminantAnalysis,0.5806451612903226,0.6136363636363636,0.6136363636363636,0.5867799238210806,0.05984020233154297
NuSVC,0.5483870967741935,0.6090909090909091,0.6090909090909091,0.5436827956989246,0.023896217346191406
XGBClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.12163543701171875
AdaBoostClassifier,0.5806451612903226,0.5931818181818183,0.5931818181818183,0.5895203959720089,0.2044529914855957
SVC,0.5161290322580645,0.5636363636363637,0.5636363636363636,0.5161290322580645,0.024932384490966797
QuadraticDiscriminantAnalysis,0.5161290322580645,0.5431818181818182,0.5431818181818181,0.5232076044089392,0.03390955924987793
LabelSpreading,0.6451612903225806,0.5,0.5,0.5060088551549652,0.649266242980957
LabelPropagation,0.6451612903225806,0.5,0.5,0.5060088551549652,0.40990543365478516
DummyClassifier,0.3548387096774194,0.5,0.5,0.1858678955453149,0.018950223922729492
