Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
Perceptron,0.7419354838709677,0.7795454545454545,0.7795454545454545,0.7468148549742477,0.02393627166748047
LogisticRegression,0.7096774193548387,0.7545454545454545,0.7545454545454546,0.7139245626453636,0.03821063041687012
PassiveAggressiveClassifier,0.6774193548387096,0.7295454545454545,0.7295454545454545,0.6801075268817204,0.026665210723876953
BernoulliNB,0.7419354838709677,0.7181818181818183,0.7181818181818181,0.7419354838709679,0.021942138671875
CalibratedClassifierCV,0.6451612903225806,0.7045454545454546,0.7045454545454546,0.6451612903225806,0.04982757568359375
ExtraTreesClassifier,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.14265847206115723
DecisionTreeClassifier,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.026923418045043945
BaggingClassifier,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.07284736633300781
GaussianNB,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.026928186416625977
QuadraticDiscriminantAnalysis,0.6129032258064516,0.6590909090909092,0.6590909090909092,0.6161290322580646,0.04148578643798828
SGDClassifier,0.6129032258064516,0.6590909090909092,0.6590909090909092,0.6161290322580646,0.026869535446166992
NearestCentroid,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.02894115447998047
KNeighborsClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.03195619583129883
RidgeClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.02682352066040039
RandomForestClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.16950654983520508
LGBMClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.11170148849487305
RidgeClassifierCV,0.5806451612903226,0.6136363636363636,0.6136363636363636,0.5867799238210806,0.03710794448852539
LinearSVC,0.5806451612903226,0.6136363636363636,0.6136363636363636,0.5867799238210806,0.024935245513916016
LinearDiscriminantAnalysis,0.5806451612903226,0.6136363636363636,0.6136363636363636,0.5867799238210806,0.05720782279968262
NuSVC,0.5483870967741935,0.6090909090909091,0.6090909090909091,0.5436827956989246,0.02395939826965332
XGBClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.12961363792419434
AdaBoostClassifier,0.5806451612903226,0.5931818181818183,0.5931818181818183,0.5895203959720089,0.1934828758239746
SVC,0.5161290322580645,0.5636363636363637,0.5636363636363636,0.5161290322580645,0.024972915649414062
ExtraTreeClassifier,0.5161290322580645,0.5431818181818182,0.5431818181818181,0.5232076044089392,0.020901203155517578
LabelSpreading,0.6451612903225806,0.5,0.5,0.5060088551549652,0.02592611312866211
LabelPropagation,0.6451612903225806,0.5,0.5,0.5060088551549652,0.027887344360351562
DummyClassifier,0.3548387096774194,0.5,0.5,0.1858678955453149,0.020946979522705078
