Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.8064516129032258,0.7472826086956521,0.7472826086956522,0.8064516129032258,0.01695418357849121
LogisticRegression,0.8064516129032258,0.7472826086956521,0.7472826086956522,0.8064516129032258,0.03191566467285156
RidgeClassifier,0.7741935483870968,0.7255434782608696,0.7255434782608696,0.778325954037529,0.05086398124694824
RidgeClassifierCV,0.7741935483870968,0.7255434782608696,0.7255434782608696,0.778325954037529,0.03690052032470703
BernoulliNB,0.8064516129032258,0.7065217391304348,0.7065217391304348,0.7966589861751151,0.029918432235717773
LinearSVC,0.7419354838709677,0.7038043478260869,0.703804347826087,0.7504072987943956,0.02892279624938965
PassiveAggressiveClassifier,0.7419354838709677,0.7038043478260869,0.703804347826087,0.7504072987943956,0.027925968170166016
SGDClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.016956329345703125
CalibratedClassifierCV,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.07779121398925781
Perceptron,0.7096774193548387,0.6413043478260869,0.641304347826087,0.7149905123339659,0.024933338165283203
GaussianNB,0.7096774193548387,0.6413043478260869,0.641304347826087,0.7149905123339659,0.017998218536376953
SVC,0.8064516129032258,0.625,0.625,0.7595533498759305,0.02094292640686035
ExtraTreesClassifier,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.1266622543334961
KNeighborsClassifier,0.7096774193548387,0.5597826086956521,0.5597826086956521,0.685066085987745,0.0209352970123291
ExtraTreeClassifier,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.01795220375061035
RandomForestClassifier,0.7419354838709677,0.5407608695652174,0.5407608695652174,0.6794044665012406,1.6096913814544678
LinearDiscriminantAnalysis,0.6129032258064516,0.5353260869565217,0.5353260869565217,0.6256109481915932,0.04784536361694336
XGBClassifier,0.7096774193548387,0.5190217391304348,0.5190217391304348,0.6579265137139898,0.10372257232666016
LGBMClassifier,0.7096774193548387,0.5190217391304348,0.5190217391304348,0.6579265137139898,0.21043777465820312
BaggingClassifier,0.7096774193548387,0.5190217391304348,0.5190217391304348,0.6579265137139898,0.08477568626403809
DecisionTreeClassifier,0.6451612903225806,0.5163043478260869,0.5163043478260869,0.6371082132235187,0.020942211151123047
QuadraticDiscriminantAnalysis,0.5806451612903226,0.5135869565217391,0.5135869565217391,0.5991234650767956,0.04089713096618652
LabelSpreading,0.7419354838709677,0.5,0.5,0.6320191158900836,0.01993083953857422
LabelPropagation,0.7419354838709677,0.5,0.5,0.6320191158900836,0.018957138061523438
DummyClassifier,0.7419354838709677,0.5,0.5,0.6320191158900836,0.01795172691345215
AdaBoostClassifier,0.6129032258064516,0.4945652173913043,0.49456521739130427,0.6129032258064515,0.20644831657409668
