Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.8064516129032258,0.7472826086956521,0.7472826086956522,0.8064516129032258,0.03789710998535156
RidgeClassifierCV,0.7741935483870968,0.7255434782608696,0.7255434782608696,0.778325954037529,0.05282282829284668
RidgeClassifier,0.7741935483870968,0.7255434782608696,0.7255434782608696,0.778325954037529,0.055831193923950195
BernoulliNB,0.8064516129032258,0.7065217391304348,0.7065217391304348,0.7966589861751151,0.025971412658691406
LinearSVC,0.7741935483870968,0.6847826086956521,0.6847826086956522,0.7690688629604209,0.029921531677246094
NearestCentroid,0.7741935483870968,0.6847826086956521,0.6847826086956522,0.7690688629604209,0.0378565788269043
ExtraTreesClassifier,0.8064516129032258,0.6657608695652174,0.6657608695652174,0.7819354838709678,0.28823232650756836
SGDClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.03290867805480957
GaussianNB,0.7096774193548387,0.6413043478260869,0.641304347826087,0.7149905123339659,0.03294968605041504
QuadraticDiscriminantAnalysis,0.7096774193548387,0.6413043478260869,0.641304347826087,0.7149905123339659,0.05086565017700195
SVC,0.8064516129032258,0.625,0.625,0.7595533498759305,0.030916929244995117
PassiveAggressiveClassifier,0.7419354838709677,0.6222826086956521,0.6222826086956521,0.7288786482334868,0.031913042068481445
RandomForestClassifier,0.7741935483870968,0.6032608695652174,0.6032608695652174,0.73394284399977,0.16160964965820312
Perceptron,0.7096774193548387,0.6005434782608696,0.6005434782608696,0.7030885380919698,0.02689075469970703
CalibratedClassifierCV,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.05481410026550293
KNeighborsClassifier,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.03091883659362793
DecisionTreeClassifier,0.6774193548387096,0.5788043478260869,0.578804347826087,0.6774193548387096,0.033908843994140625
ExtraTreeClassifier,0.7096774193548387,0.5597826086956521,0.5597826086956521,0.685066085987745,0.07380175590515137
LGBMClassifier,0.7096774193548387,0.5190217391304348,0.5190217391304348,0.6579265137139898,0.12067770957946777
BaggingClassifier,0.7096774193548387,0.5190217391304348,0.5190217391304348,0.6579265137139898,0.06781816482543945
LinearDiscriminantAnalysis,0.5806451612903226,0.5135869565217391,0.5135869565217391,0.5991234650767956,0.06087660789489746
LabelSpreading,0.7419354838709677,0.5,0.5,0.6320191158900836,0.046875
LabelPropagation,0.7419354838709677,0.5,0.5,0.6320191158900836,0.029877901077270508
DummyClassifier,0.7419354838709677,0.5,0.5,0.6320191158900836,0.05186176300048828
XGBClassifier,0.6774193548387096,0.49728260869565216,0.49728260869565216,0.6365591397849462,0.14860272407531738
AdaBoostClassifier,0.6129032258064516,0.4945652173913043,0.49456521739130427,0.6129032258064515,0.21445512771606445
