Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
PassiveAggressiveClassifier,0.8064516129032258,0.7472826086956521,0.7472826086956522,0.8064516129032258,0.02892446517944336
NearestCentroid,0.8064516129032258,0.7472826086956521,0.7472826086956522,0.8064516129032258,0.028924942016601562
LogisticRegression,0.8064516129032258,0.7472826086956521,0.7472826086956522,0.8064516129032258,0.03407692909240723
LinearSVC,0.7741935483870968,0.7255434782608696,0.7255434782608696,0.778325954037529,0.03091883659362793
RidgeClassifier,0.7741935483870968,0.7255434782608696,0.7255434782608696,0.778325954037529,0.02593064308166504
RidgeClassifierCV,0.7741935483870968,0.7255434782608696,0.7255434782608696,0.778325954037529,0.036928653717041016
BernoulliNB,0.8064516129032258,0.7065217391304348,0.7065217391304348,0.7966589861751151,0.023976564407348633
ExtraTreesClassifier,0.8064516129032258,0.6657608695652174,0.6657608695652174,0.7819354838709678,0.11369776725769043
CalibratedClassifierCV,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.052633047103881836
SGDClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.025892257690429688
GaussianNB,0.7096774193548387,0.6413043478260869,0.641304347826087,0.7149905123339659,0.029918670654296875
SVC,0.8064516129032258,0.625,0.625,0.7595533498759305,0.02991962432861328
Perceptron,0.6774193548387096,0.6195652173913043,0.6195652173913043,0.6880091234929945,0.03191351890563965
RandomForestClassifier,0.7741935483870968,0.6032608695652174,0.6032608695652174,0.73394284399977,0.27330660820007324
DecisionTreeClassifier,0.6774193548387096,0.5788043478260869,0.578804347826087,0.6774193548387096,0.04288768768310547
KNeighborsClassifier,0.7096774193548387,0.5597826086956521,0.5597826086956521,0.685066085987745,0.03191399574279785
BaggingClassifier,0.7419354838709677,0.5407608695652174,0.5407608695652174,0.6794044665012406,0.07080960273742676
XGBClassifier,0.7096774193548387,0.5190217391304348,0.5190217391304348,0.6579265137139898,0.18650197982788086
LGBMClassifier,0.7096774193548387,0.5190217391304348,0.5190217391304348,0.6579265137139898,0.1186823844909668
LabelSpreading,0.7419354838709677,0.5,0.5,0.6320191158900836,0.023892641067504883
LabelPropagation,0.7419354838709677,0.5,0.5,0.6320191158900836,0.02198481559753418
DummyClassifier,0.7419354838709677,0.5,0.5,0.6320191158900836,0.019944429397583008
ExtraTreeClassifier,0.6774193548387096,0.49728260869565216,0.49728260869565216,0.6365591397849462,0.019907236099243164
AdaBoostClassifier,0.6129032258064516,0.4945652173913043,0.49456521739130427,0.6129032258064515,0.20046448707580566
LinearDiscriminantAnalysis,0.5806451612903226,0.47282608695652173,0.47282608695652173,0.5883196289268395,0.053856611251831055
QuadraticDiscriminantAnalysis,0.5806451612903226,0.4320652173913043,0.4320652173913043,0.5711278883550676,0.04875540733337402
