Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
XGBClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.537571907043457
RidgeClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.02390122413635254
BernoulliNB,0.8064516129032258,0.797979797979798,0.7979797979797979,0.811520737327189,0.016957759857177734
RidgeClassifierCV,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.03589963912963867
RandomForestClassifier,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.17652368545532227
LogisticRegression,0.8387096774193549,0.7550505050505051,0.7550505050505051,0.8277282086479067,0.026928186416625977
NearestCentroid,0.7419354838709677,0.7525252525252526,0.7525252525252525,0.7524926686217008,0.018949508666992188
NuSVC,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.019985675811767578
LGBMClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,1.0751008987426758
ExtraTreesClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.2293848991394043
KNeighborsClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.035924434661865234
PassiveAggressiveClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.01795649528503418
ExtraTreeClassifier,0.7096774193548387,0.696969696969697,0.696969696969697,0.7197931887152973,0.016954898834228516
SGDClassifier,0.7419354838709677,0.6868686868686869,0.6868686868686869,0.7419354838709677,0.016954660415649414
SVC,0.8064516129032258,0.6666666666666666,0.6666666666666666,0.7696774193548387,0.01894998550415039
Perceptron,0.7096774193548387,0.6641414141414141,0.6641414141414141,0.7139416433055632,0.018948793411254883
LinearSVC,0.7096774193548387,0.6641414141414141,0.6641414141414141,0.7139416433055632,0.02393507957458496
DecisionTreeClassifier,0.7096774193548387,0.6641414141414141,0.6641414141414141,0.7139416433055632,0.0229034423828125
LinearDiscriminantAnalysis,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.04587841033935547
CalibratedClassifierCV,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.04829668998718262
BaggingClassifier,0.7741935483870968,0.6439393939393939,0.6439393939393939,0.7422899680964197,0.06985211372375488
GaussianNB,0.5161290322580645,0.5934343434343434,0.5934343434343434,0.5272525027808677,0.03889894485473633
AdaBoostClassifier,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.19946765899658203
QuadraticDiscriminantAnalysis,0.45161290322580644,0.5151515151515151,0.5151515151515151,0.46421950315165,0.027924776077270508
LabelSpreading,0.7096774193548387,0.5,0.5,0.5891661594643944,0.02791595458984375
LabelPropagation,0.7096774193548387,0.5,0.5,0.5891661594643944,0.02591681480407715
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.015956878662109375
