Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
RidgeClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.022974729537963867
XGBClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.11664581298828125
RidgeClassifierCV,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.03809523582458496
BaggingClassifier,0.8709677419354839,0.7777777777777778,0.7777777777777778,0.857910906298003,1.0152862071990967
ExtraTreesClassifier,0.8387096774193549,0.7550505050505051,0.7550505050505051,0.8277282086479067,0.1277027130126953
BernoulliNB,0.7419354838709677,0.7525252525252526,0.7525252525252525,0.7524926686217008,0.20943427085876465
NearestCentroid,0.7419354838709677,0.7525252525252526,0.7525252525252525,0.7524926686217008,0.025933027267456055
SGDClassifier,0.7741935483870968,0.7424242424242424,0.7424242424242422,0.7775101670154382,0.021634817123413086
LogisticRegression,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.036721229553222656
NuSVC,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.028961896896362305
ExtraTreeClassifier,0.7419354838709677,0.7196969696969697,0.7196969696969695,0.748694316436252,0.025930404663085938
KNeighborsClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.03191328048706055
RandomForestClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.14856290817260742
PassiveAggressiveClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.026927947998046875
LGBMClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.11768603324890137
CalibratedClassifierCV,0.8064516129032258,0.6994949494949495,0.6994949494949495,0.7868663594470046,0.06981158256530762
Perceptron,0.7096774193548387,0.696969696969697,0.696969696969697,0.7197931887152973,0.04188871383666992
AdaBoostClassifier,0.7419354838709677,0.6868686868686869,0.6868686868686869,0.7419354838709677,0.4677543640136719
SVC,0.8064516129032258,0.6666666666666666,0.6666666666666666,0.7696774193548387,0.02397608757019043
LinearDiscriminantAnalysis,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.05290031433105469
LinearSVC,0.6774193548387096,0.6414141414141414,0.6414141414141414,0.6858678955453149,0.027890443801879883
DecisionTreeClassifier,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.02692866325378418
GaussianNB,0.4838709677419355,0.5707070707070707,0.5707070707070707,0.4903225806451613,0.023894309997558594
LabelSpreading,0.7096774193548387,0.5,0.5,0.5891661594643944,0.026927947998046875
LabelPropagation,0.7096774193548387,0.5,0.5,0.5891661594643944,0.02493453025817871
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.045876264572143555
QuadraticDiscriminantAnalysis,0.45161290322580644,0.4823232323232324,0.4823232323232323,0.4725038402457757,0.046967506408691406
