Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.027962446212768555
AdaBoostClassifier,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,1.6266517639160156
GaussianNB,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.027884960174560547
NearestCentroid,0.6451612903225806,0.6515151515151515,0.6515151515151515,0.6609846441543497,0.03386425971984863
Perceptron,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.026240825653076172
BaggingClassifier,0.7741935483870968,0.6111111111111112,0.6111111111111112,0.7178425622448393,0.07879114151000977
XGBClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.11070394515991211
LGBMClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.12267303466796875
SGDClassifier,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.02427506446838379
RidgeClassifier,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.02992081642150879
DecisionTreeClassifier,0.7096774193548387,0.5656565656565656,0.5656565656565656,0.6686585304096826,0.029962778091430664
PassiveAggressiveClassifier,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.02792644500732422
LinearDiscriminantAnalysis,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.06087803840637207
LogisticRegression,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.044884681701660156
CalibratedClassifierCV,0.6774193548387096,0.5429292929292929,0.5429292929292929,0.6447772657450075,0.07379484176635742
KNeighborsClassifier,0.7096774193548387,0.5328282828282829,0.5328282828282829,0.6372261514576506,0.03494381904602051
LinearSVC,0.6129032258064516,0.5303030303030303,0.5303030303030303,0.6129032258064516,0.032912492752075195
ExtraTreeClassifier,0.6451612903225806,0.5202020202020202,0.5202020202020202,0.6210020590253946,0.03191423416137695
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.02692699432373047
RandomForestClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.1655580997467041
LabelSpreading,0.7096774193548387,0.5,0.5,0.5891661594643944,0.026886701583862305
SVC,0.7096774193548387,0.5,0.5,0.5891661594643944,0.02792501449584961
LabelPropagation,0.7096774193548387,0.5,0.5,0.5891661594643944,0.03091883659362793
ExtraTreesClassifier,0.6774193548387096,0.4772727272727273,0.4772727272727273,0.5732009925558313,0.1406264305114746
RidgeClassifierCV,0.5806451612903226,0.47474747474747475,0.47474747474747475,0.5729706936538055,0.047560930252075195
QuadraticDiscriminantAnalysis,0.4838709677419355,0.3737373737373737,0.37373737373737376,0.4838709677419355,0.046773433685302734
