Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.08078360557556152
ExtraTreeClassifier,0.8064516129032258,0.6994949494949495,0.6994949494949495,0.7868663594470046,0.022939682006835938
AdaBoostClassifier,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,1.119016408920288
GaussianNB,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.02094411849975586
NearestCentroid,0.6451612903225806,0.6515151515151515,0.6515151515151515,0.6609846441543497,0.020984411239624023
DecisionTreeClassifier,0.7419354838709677,0.6212121212121212,0.6212121212121211,0.7158218125960061,0.04786968231201172
BaggingClassifier,0.7741935483870968,0.6111111111111112,0.6111111111111112,0.7178425622448393,0.6113615036010742
QuadraticDiscriminantAnalysis,0.6774193548387096,0.6085858585858586,0.6085858585858586,0.6774193548387096,0.03954052925109863
Perceptron,0.6774193548387096,0.6085858585858586,0.6085858585858586,0.6774193548387096,0.023897171020507812
XGBClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.1146554946899414
LGBMClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.10870766639709473
RidgeClassifier,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.02990245819091797
SGDClassifier,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.022632598876953125
LinearDiscriminantAnalysis,0.6774193548387096,0.5757575757575758,0.5757575757575757,0.6642706872370266,0.05557441711425781
LogisticRegression,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.04184842109680176
ExtraTreesClassifier,0.7096774193548387,0.5328282828282829,0.5328282828282829,0.6372261514576506,0.13862824440002441
PassiveAggressiveClassifier,0.6129032258064516,0.5303030303030303,0.5303030303030303,0.6129032258064516,0.02696704864501953
LinearSVC,0.6129032258064516,0.5303030303030303,0.5303030303030303,0.6129032258064516,0.030917882919311523
CalibratedClassifierCV,0.6451612903225806,0.5202020202020202,0.5202020202020202,0.6210020590253946,0.09773755073547363
KNeighborsClassifier,0.6774193548387096,0.51010101010101,0.5101010101010102,0.6161290322580646,0.030918598175048828
LabelSpreading,0.7096774193548387,0.5,0.5,0.5891661594643944,0.03685712814331055
LabelPropagation,0.7096774193548387,0.5,0.5,0.5891661594643944,0.023979902267456055
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.023935794830322266
RandomForestClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.14859676361083984
SVC,0.7096774193548387,0.5,0.5,0.5891661594643944,0.03693890571594238
RidgeClassifierCV,0.5806451612903226,0.47474747474747475,0.47474747474747475,0.5729706936538055,0.03081655502319336
