Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.022977590560913086
AdaBoostClassifier,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,0.2523193359375
ExtraTreeClassifier,0.7741935483870968,0.6767676767676767,0.6767676767676768,0.7588194921070694,0.02094411849975586
BaggingClassifier,0.8064516129032258,0.6666666666666666,0.6666666666666666,0.7696774193548387,0.0718073844909668
GaussianNB,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.024974346160888672
NearestCentroid,0.6451612903225806,0.6515151515151515,0.6515151515151515,0.6609846441543497,0.026928186416625977
XGBClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.11369442939758301
LGBMClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.11369585990905762
RidgeClassifier,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.026742219924926758
LinearDiscriminantAnalysis,0.6774193548387096,0.5757575757575758,0.5757575757575757,0.6642706872370266,0.05839657783508301
DecisionTreeClassifier,0.7096774193548387,0.5656565656565656,0.5656565656565656,0.6686585304096826,0.0288848876953125
SGDClassifier,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.03290843963623047
LogisticRegression,0.6451612903225806,0.553030303030303,0.553030303030303,0.6386675100147585,0.030915260314941406
PassiveAggressiveClassifier,0.6129032258064516,0.5303030303030303,0.5303030303030303,0.6129032258064516,0.02198052406311035
CalibratedClassifierCV,0.6451612903225806,0.5202020202020202,0.5202020202020202,0.6210020590253946,0.05086398124694824
ExtraTreesClassifier,0.6774193548387096,0.51010101010101,0.5101010101010102,0.6161290322580646,0.1256258487701416
KNeighborsClassifier,0.6774193548387096,0.51010101010101,0.5101010101010102,0.6161290322580646,0.02987980842590332
Perceptron,0.5806451612903226,0.5075757575757576,0.5075757575757576,0.5868045958858136,0.019949674606323242
RandomForestClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.16655993461608887
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.0209810733795166
LabelSpreading,0.7096774193548387,0.5,0.5,0.5891661594643944,0.0408480167388916
SVC,0.7096774193548387,0.5,0.5,0.5891661594643944,0.03690171241760254
LabelPropagation,0.7096774193548387,0.5,0.5,0.5891661594643944,0.025973796844482422
QuadraticDiscriminantAnalysis,0.5806451612903226,0.47474747474747475,0.47474747474747475,0.5729706936538055,0.03789925575256348
RidgeClassifierCV,0.5806451612903226,0.47474747474747475,0.47474747474747475,0.5729706936538055,0.03415822982788086
LinearSVC,0.5806451612903226,0.47474747474747475,0.47474747474747475,0.5729706936538055,0.024533510208129883
