Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
XGBClassifier,0.8064516129032258,0.6220238095238095,0.6220238095238094,0.7751861042183624,0.14756274223327637
QuadraticDiscriminantAnalysis,0.6451612903225806,0.6190476190476191,0.6190476190476191,0.6712204366881195,0.04471850395202637
Perceptron,0.6451612903225806,0.6190476190476191,0.6190476190476191,0.6712204366881195,0.028024911880493164
ExtraTreesClassifier,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.13663506507873535
BernoulliNB,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.043883562088012695
NuSVC,0.7741935483870968,0.5505952380952381,0.550595238095238,0.722120781767769,0.027930259704589844
SGDClassifier,0.6129032258064516,0.5476190476190476,0.5476190476190477,0.638318670576735,0.02490234375
CalibratedClassifierCV,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.06083798408508301
DecisionTreeClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.05784153938293457
RidgeClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.03294730186462402
RidgeClassifierCV,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.03935122489929199
BaggingClassifier,0.7419354838709677,0.5297619047619048,0.5297619047619047,0.7002481389578163,0.13364219665527344
LGBMClassifier,0.7419354838709677,0.5297619047619048,0.5297619047619047,0.7002481389578163,0.1156914234161377
RandomForestClassifier,0.7419354838709677,0.5297619047619048,0.5297619047619047,0.7002481389578163,0.15558218955993652
SVC,0.7419354838709677,0.5297619047619048,0.5297619047619047,0.7002481389578163,0.027967453002929688
GaussianNB,0.5806451612903226,0.5267857142857143,0.5267857142857143,0.6114423342677775,0.033948421478271484
LogisticRegression,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.043749094009399414
LabelSpreading,0.7741935483870968,0.5,0.5,0.6756598240469208,0.027924299240112305
DummyClassifier,0.7741935483870968,0.5,0.5,0.6756598240469208,0.03590536117553711
LabelPropagation,0.7741935483870968,0.5,0.5,0.6756598240469208,0.028925180435180664
LinearSVC,0.6129032258064516,0.49702380952380953,0.4970238095238094,0.6286816269284713,0.031897783279418945
PassiveAggressiveClassifier,0.6129032258064516,0.49702380952380953,0.4970238095238094,0.6286816269284713,0.02774357795715332
KNeighborsClassifier,0.6774193548387096,0.48809523809523814,0.4880952380952381,0.6569892473118281,0.03191375732421875
ExtraTreeClassifier,0.6774193548387096,0.48809523809523814,0.4880952380952381,0.6569892473118281,0.030916929244995117
AdaBoostClassifier,0.6774193548387096,0.48809523809523814,0.4880952380952381,0.6569892473118281,1.694469928741455
LinearDiscriminantAnalysis,0.5806451612903226,0.47619047619047616,0.4761904761904762,0.6036685641998736,0.06168699264526367
NearestCentroid,0.6451612903225806,0.46726190476190477,0.4672619047619047,0.6351344508026535,0.04990386962890625
