Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreeClassifier,0.7741935483870968,0.7023809523809523,0.7023809523809523,0.7793182338137726,0.02589273452758789
ExtraTreesClassifier,0.8064516129032258,0.6220238095238095,0.6220238095238094,0.7751861042183624,0.12965178489685059
XGBClassifier,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.12566375732421875
LinearSVC,0.6774193548387096,0.5892857142857143,0.5892857142857143,0.6905680224403926,0.02892303466796875
RandomForestClassifier,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.15163850784301758
QuadraticDiscriminantAnalysis,0.5806451612903226,0.5773809523809523,0.5773809523809523,0.6147390506163126,0.03989243507385254
SGDClassifier,0.6451612903225806,0.5684523809523809,0.5684523809523809,0.6646426312460468,0.03291058540344238
BernoulliNB,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.022940874099731445
CalibratedClassifierCV,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.06183314323425293
DecisionTreeClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.032912254333496094
BaggingClassifier,0.7741935483870968,0.5505952380952381,0.550595238095238,0.722120781767769,0.14162230491638184
NuSVC,0.7741935483870968,0.5505952380952381,0.550595238095238,0.722120781767769,0.027968883514404297
SVC,0.7741935483870968,0.5505952380952381,0.550595238095238,0.722120781767769,0.03191423416137695
Perceptron,0.6129032258064516,0.5476190476190476,0.5476190476190477,0.638318670576735,0.021903038024902344
GaussianNB,0.6129032258064516,0.5476190476190476,0.5476190476190477,0.638318670576735,0.025951385498046875
RidgeClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.02193737030029297
RidgeClassifierCV,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.037860870361328125
LGBMClassifier,0.7419354838709677,0.5297619047619048,0.5297619047619047,0.7002481389578163,0.10471987724304199
PassiveAggressiveClassifier,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.028918743133544922
LogisticRegression,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.03543591499328613
LabelSpreading,0.7741935483870968,0.5,0.5,0.6756598240469208,0.0229799747467041
LabelPropagation,0.7741935483870968,0.5,0.5,0.6756598240469208,0.026929616928100586
DummyClassifier,0.7741935483870968,0.5,0.5,0.6756598240469208,0.022975921630859375
KNeighborsClassifier,0.6774193548387096,0.48809523809523814,0.4880952380952381,0.6569892473118281,0.025910139083862305
AdaBoostClassifier,0.6774193548387096,0.48809523809523814,0.4880952380952381,0.6569892473118281,1.6485915184020996
LinearDiscriminantAnalysis,0.5806451612903226,0.47619047619047616,0.4761904761904762,0.6036685641998736,0.07001471519470215
NearestCentroid,0.6451612903225806,0.46726190476190477,0.4672619047619047,0.6351344508026535,0.024893999099731445
