Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreeClassifier,0.7096774193548387,0.6101190476190476,0.6101190476190476,0.7162663006177077,0.030917644500732422
XGBClassifier,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.13061141967773438
ExtraTreesClassifier,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.14162182807922363
RandomForestClassifier,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.1535475254058838
LinearSVC,0.6774193548387096,0.5892857142857143,0.5892857142857143,0.6905680224403926,0.025930404663085938
DecisionTreeClassifier,0.6774193548387096,0.5892857142857143,0.5892857142857143,0.6905680224403926,0.09574460983276367
SGDClassifier,0.6774193548387096,0.5892857142857143,0.5892857142857143,0.6905680224403926,0.026546239852905273
BernoulliNB,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.42287588119506836
NuSVC,0.7741935483870968,0.5505952380952381,0.550595238095238,0.722120781767769,0.025932788848876953
SVC,0.7741935483870968,0.5505952380952381,0.550595238095238,0.722120781767769,0.023973941802978516
GaussianNB,0.6129032258064516,0.5476190476190476,0.5476190476190477,0.638318670576735,0.02692699432373047
Perceptron,0.6129032258064516,0.5476190476190476,0.5476190476190477,0.638318670576735,0.019947052001953125
CalibratedClassifierCV,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.5275850296020508
RidgeClassifierCV,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.03126692771911621
RidgeClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.02312779426574707
LGBMClassifier,0.7419354838709677,0.5297619047619048,0.5297619047619047,0.7002481389578163,0.10870909690856934
QuadraticDiscriminantAnalysis,0.5806451612903226,0.5267857142857143,0.5267857142857143,0.6114423342677775,0.036873817443847656
LogisticRegression,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.050826311111450195
BaggingClassifier,0.7096774193548387,0.5089285714285714,0.5089285714285714,0.6786268759703296,0.6582422256469727
LabelSpreading,0.7741935483870968,0.5,0.5,0.6756598240469208,0.028923749923706055
LabelPropagation,0.7741935483870968,0.5,0.5,0.6756598240469208,0.023936033248901367
DummyClassifier,0.7741935483870968,0.5,0.5,0.6756598240469208,0.03490471839904785
PassiveAggressiveClassifier,0.6129032258064516,0.49702380952380953,0.4970238095238094,0.6286816269284713,0.02341628074645996
KNeighborsClassifier,0.6774193548387096,0.48809523809523814,0.4880952380952381,0.6569892473118281,0.028922557830810547
AdaBoostClassifier,0.6774193548387096,0.48809523809523814,0.4880952380952381,0.6569892473118281,0.21642708778381348
LinearDiscriminantAnalysis,0.5806451612903226,0.47619047619047616,0.4761904761904762,0.6036685641998736,0.06252503395080566
NearestCentroid,0.6451612903225806,0.46726190476190477,0.4672619047619047,0.6351344508026535,0.025928258895874023
