Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
QuadraticDiscriminantAnalysis,0.6774193548387096,0.6904761904761905,0.6904761904761906,0.7027649769585255,0.03989219665527344
Perceptron,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.0219419002532959
XGBClassifier,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.12362885475158691
RandomForestClassifier,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.1595757007598877
LinearSVC,0.6774193548387096,0.5892857142857143,0.5892857142857143,0.6905680224403926,0.4617025852203369
ExtraTreesClassifier,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.16252994537353516
BernoulliNB,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.023936033248901367
DecisionTreeClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.030915498733520508
NuSVC,0.7741935483870968,0.5505952380952381,0.550595238095238,0.722120781767769,0.05186104774475098
SVC,0.7741935483870968,0.5505952380952381,0.550595238095238,0.722120781767769,0.023976564407348633
GaussianNB,0.6129032258064516,0.5476190476190476,0.5476190476190477,0.638318670576735,0.041893720626831055
CalibratedClassifierCV,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.06087660789489746
SGDClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.02120518684387207
RidgeClassifierCV,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.032442569732666016
RidgeClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.03091716766357422
LGBMClassifier,0.7419354838709677,0.5297619047619048,0.5297619047619047,0.7002481389578163,0.12167501449584961
BaggingClassifier,0.7419354838709677,0.5297619047619048,0.5297619047619047,0.7002481389578163,0.08078718185424805
PassiveAggressiveClassifier,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.03191399574279785
LogisticRegression,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.7140903472900391
LabelSpreading,0.7741935483870968,0.5,0.5,0.6756598240469208,0.028923511505126953
LabelPropagation,0.7741935483870968,0.5,0.5,0.6756598240469208,0.021940946578979492
DummyClassifier,0.7741935483870968,0.5,0.5,0.6756598240469208,0.025891542434692383
KNeighborsClassifier,0.6774193548387096,0.48809523809523814,0.4880952380952381,0.6569892473118281,0.04486989974975586
AdaBoostClassifier,0.6774193548387096,0.48809523809523814,0.4880952380952381,0.6569892473118281,0.23936104774475098
LinearDiscriminantAnalysis,0.5806451612903226,0.47619047619047616,0.4761904761904762,0.6036685641998736,0.3581106662750244
NearestCentroid,0.6451612903225806,0.46726190476190477,0.4672619047619047,0.6351344508026535,0.05783987045288086
ExtraTreeClassifier,0.6129032258064516,0.4464285714285714,0.4464285714285714,0.6129032258064516,0.020983457565307617
