Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
GaussianNB,0.5161290322580645,0.6366666666666667,0.6366666666666667,0.55693112467306,0.01496267318725586
XGBClassifier,0.8064516129032258,0.6266666666666667,0.6266666666666666,0.7908188585607939,0.08577322959899902
SGDClassifier,0.8064516129032258,0.6266666666666667,0.6266666666666666,0.7908188585607939,0.013962507247924805
LGBMClassifier,0.7741935483870968,0.6066666666666667,0.6066666666666667,0.7661434075096314,0.056848764419555664
BernoulliNB,0.7741935483870968,0.6066666666666667,0.6066666666666667,0.7661434075096314,0.0189516544342041
ExtraTreeClassifier,0.7741935483870968,0.6066666666666667,0.6066666666666667,0.7661434075096314,0.01795220375061035
BaggingClassifier,0.7419354838709677,0.5866666666666667,0.5866666666666666,0.7419354838709676,0.03989124298095703
NearestCentroid,0.7096774193548387,0.5666666666666667,0.5666666666666667,0.7178811971438701,0.017951011657714844
SVC,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.014961481094360352
DecisionTreeClassifier,0.6774193548387096,0.5466666666666666,0.5466666666666666,0.6937403993855608,0.019945383071899414
RandomForestClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.14066815376281738
PassiveAggressiveClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.016994953155517578
AdaBoostClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.1466083526611328
LinearDiscriminantAnalysis,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.01798868179321289
ExtraTreesClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.12566399574279785
RidgeClassifier,0.7419354838709677,0.5233333333333333,0.5233333333333334,0.721091811414392,0.015950918197631836
RidgeClassifierCV,0.7419354838709677,0.5233333333333333,0.5233333333333334,0.721091811414392,0.017711639404296875
Perceptron,0.6129032258064516,0.5066666666666667,0.5066666666666666,0.6444600280504911,0.019908428192138672
QuadraticDiscriminantAnalysis,0.8064516129032258,0.5,0.5,0.7200460829493087,0.019946813583374023
DummyClassifier,0.8064516129032258,0.5,0.5,0.7200460829493087,0.015958547592163086
CalibratedClassifierCV,0.8064516129032258,0.5,0.5,0.7200460829493087,0.05186295509338379
LabelSpreading,0.6451612903225806,0.4633333333333333,0.4633333333333334,0.6551881298425077,0.017912864685058594
LabelPropagation,0.6451612903225806,0.4633333333333333,0.4633333333333334,0.6551881298425077,0.019983768463134766
KNeighborsClassifier,0.7419354838709677,0.46,0.46,0.6869772998805257,0.021943092346191406
LogisticRegression,0.7096774193548387,0.44,0.44,0.6695069993913572,0.026890039443969727
LinearSVC,0.7096774193548387,0.44,0.44,0.6695069993913572,0.026931047439575195
