Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.8064516129032258,0.69,0.6900000000000001,0.8064516129032258,0.016955137252807617
GaussianNB,0.5806451612903226,0.6766666666666667,0.6766666666666667,0.6217858812529219,0.02094292640686035
ExtraTreeClassifier,0.7741935483870968,0.6066666666666667,0.6066666666666667,0.7661434075096314,0.01595759391784668
BaggingClassifier,0.7419354838709677,0.5866666666666667,0.5866666666666666,0.7419354838709676,0.04188799858093262
NearestCentroid,0.7096774193548387,0.5666666666666667,0.5666666666666667,0.7178811971438701,0.013961076736450195
SVC,0.8064516129032258,0.5633333333333334,0.5633333333333334,0.7652329749103943,0.017913341522216797
DecisionTreeClassifier,0.6774193548387096,0.5466666666666666,0.5466666666666666,0.6937403993855608,0.018948793411254883
AdaBoostClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.8816373348236084
XGBClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.09375119209289551
RandomForestClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.18650197982788086
LGBMClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.06581854820251465
ExtraTreesClassifier,0.7741935483870968,0.5433333333333333,0.5433333333333334,0.7429498884154999,0.09873723983764648
SGDClassifier,0.7419354838709677,0.5233333333333333,0.5233333333333334,0.721091811414392,0.014962911605834961
Perceptron,0.8064516129032258,0.5,0.5,0.7200460829493087,0.01795053482055664
QuadraticDiscriminantAnalysis,0.8064516129032258,0.5,0.5,0.7200460829493087,0.025931596755981445
DummyClassifier,0.8064516129032258,0.5,0.5,0.7200460829493087,0.015957117080688477
CalibratedClassifierCV,0.8064516129032258,0.5,0.5,0.7200460829493087,0.04890298843383789
LabelSpreading,0.6774193548387096,0.48333333333333334,0.4833333333333334,0.6774193548387097,0.014960050582885742
LabelPropagation,0.6774193548387096,0.48333333333333334,0.4833333333333334,0.6774193548387097,0.016956329345703125
PassiveAggressiveClassifier,0.6774193548387096,0.48333333333333334,0.4833333333333334,0.6774193548387097,0.014960765838623047
LinearDiscriminantAnalysis,0.7419354838709677,0.46,0.46,0.6869772998805257,0.018788576126098633
LogisticRegression,0.7419354838709677,0.46,0.46,0.6869772998805257,0.02094435691833496
KNeighborsClassifier,0.7419354838709677,0.46,0.46,0.6869772998805257,0.03191542625427246
RidgeClassifier,0.7419354838709677,0.46,0.46,0.6869772998805257,0.015995502471923828
LinearSVC,0.7419354838709677,0.46,0.46,0.6869772998805257,0.026889801025390625
RidgeClassifierCV,0.7096774193548387,0.44,0.44,0.6695069993913572,0.017952442169189453
