Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
DecisionTreeClassifier,0.7741935483870968,0.7023809523809523,0.7023809523809523,0.7617963314358002,0.02094435691833496
RandomForestClassifier,0.7741935483870968,0.7023809523809523,0.7023809523809523,0.7617963314358002,0.14860248565673828
Perceptron,0.7419354838709677,0.6785714285714286,0.6785714285714286,0.7334636689475399,0.02094721794128418
CalibratedClassifierCV,0.7741935483870968,0.6761904761904762,0.6761904761904762,0.7485701212537176,0.06581735610961914
LinearSVC,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.04088950157165527
BaggingClassifier,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.041890859603881836
XGBClassifier,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.06582260131835938
SGDClassifier,0.7419354838709677,0.6523809523809524,0.6523809523809523,0.7208976157082749,0.014963865280151367
NearestCentroid,0.7096774193548387,0.6285714285714286,0.6285714285714286,0.6937381404174573,0.01994490623474121
LogisticRegression,0.7096774193548387,0.6285714285714286,0.6285714285714286,0.6937381404174573,0.026929616928100586
SVC,0.7419354838709677,0.6261904761904762,0.6261904761904762,0.7027649769585254,0.014922142028808594
KNeighborsClassifier,0.7419354838709677,0.6261904761904762,0.6261904761904762,0.7027649769585254,0.032914161682128906
PassiveAggressiveClassifier,0.6451612903225806,0.6071428571428572,0.6071428571428572,0.6492825296916563,0.02393484115600586
AdaBoostClassifier,0.6774193548387096,0.6047619047619048,0.6047619047619048,0.6668295861844248,0.14560747146606445
LGBMClassifier,0.6774193548387096,0.6047619047619048,0.6047619047619048,0.6668295861844248,0.07978582382202148
NuSVC,0.7419354838709677,0.6,0.6,0.6765591397849463,0.020944595336914062
ExtraTreeClassifier,0.6451612903225806,0.5809523809523809,0.5809523809523809,0.6399494610494728,0.02289581298828125
RidgeClassifier,0.6774193548387096,0.5785714285714285,0.5785714285714286,0.6511220196353437,0.01994800567626953
RidgeClassifierCV,0.6774193548387096,0.5785714285714285,0.5785714285714286,0.6511220196353437,0.019912242889404297
GaussianNB,0.7096774193548387,0.5761904761904761,0.5761904761904761,0.65225097483162,0.020943880081176758
LabelSpreading,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.022937536239624023
LabelPropagation,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.030916213989257812
BernoulliNB,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.019957542419433594
ExtraTreesClassifier,0.6451612903225806,0.5547619047619048,0.5547619047619048,0.6256799493991145,0.21342992782592773
QuadraticDiscriminantAnalysis,0.6774193548387096,0.5,0.5,0.5471464019851118,0.01894664764404297
DummyClassifier,0.6774193548387096,0.5,0.5,0.5471464019851118,0.017995119094848633
LinearDiscriminantAnalysis,0.5806451612903226,0.4809523809523809,0.4809523809523809,0.5576217583807717,0.024935007095336914
