Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7419354838709677,0.6785714285714286,0.6785714285714286,0.7334636689475399,0.01699233055114746
KNeighborsClassifier,0.7741935483870968,0.6761904761904762,0.6761904761904762,0.7485701212537176,0.01997852325439453
LinearSVC,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.025929927825927734
XGBClassifier,0.7096774193548387,0.6547619047619048,0.6547619047619048,0.7054131954041141,0.06881451606750488
RidgeClassifierCV,0.7419354838709677,0.6523809523809524,0.6523809523809523,0.7208976157082749,0.017807960510253906
NearestCentroid,0.7419354838709677,0.6523809523809524,0.6523809523809523,0.7208976157082749,0.01795172691345215
DecisionTreeClassifier,0.6774193548387096,0.6309523809523809,0.6309523809523809,0.6774193548387096,0.03590226173400879
BaggingClassifier,0.6774193548387096,0.6309523809523809,0.6309523809523809,0.6774193548387096,0.04783034324645996
LogisticRegression,0.7096774193548387,0.6285714285714286,0.6285714285714286,0.6937381404174573,0.027924776077270508
RidgeClassifier,0.7096774193548387,0.6285714285714286,0.6285714285714286,0.6937381404174573,0.014960050582885742
RandomForestClassifier,0.7096774193548387,0.6285714285714286,0.6285714285714286,0.6937381404174573,0.1685488224029541
ExtraTreesClassifier,0.7096774193548387,0.6285714285714286,0.6285714285714286,0.6937381404174573,0.11373329162597656
SVC,0.7419354838709677,0.6261904761904762,0.6261904761904762,0.7027649769585254,0.0179140567779541
CalibratedClassifierCV,0.7419354838709677,0.6261904761904762,0.6261904761904762,0.7027649769585254,0.04886913299560547
GaussianNB,0.7419354838709677,0.6261904761904762,0.6261904761904762,0.7027649769585254,0.01990985870361328
SGDClassifier,0.6451612903225806,0.6071428571428572,0.6071428571428572,0.6492825296916563,0.01894855499267578
PassiveAggressiveClassifier,0.6451612903225806,0.6071428571428572,0.6071428571428572,0.6492825296916563,0.016954898834228516
AdaBoostClassifier,0.6774193548387096,0.6047619047619048,0.6047619047619048,0.6668295861844248,0.1496436595916748
LGBMClassifier,0.6774193548387096,0.6047619047619048,0.6047619047619048,0.6668295861844248,0.06183457374572754
ExtraTreeClassifier,0.7096774193548387,0.6023809523809524,0.6023809523809525,0.6767330130404942,0.015958786010742188
NuSVC,0.7419354838709677,0.6,0.6,0.6765591397849463,0.01894998550415039
LabelSpreading,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.016954421997070312
LabelPropagation,0.6129032258064516,0.5571428571428572,0.5571428571428572,0.6129032258064516,0.0209500789642334
LinearDiscriminantAnalysis,0.6451612903225806,0.5547619047619048,0.5547619047619048,0.6256799493991145,0.019559144973754883
Perceptron,0.6129032258064516,0.530952380952381,0.530952380952381,0.6001955034213099,0.01894974708557129
QuadraticDiscriminantAnalysis,0.6774193548387096,0.5,0.5,0.5471464019851118,0.021925687789916992
DummyClassifier,0.6774193548387096,0.5,0.5,0.5471464019851118,0.02293872833251953
