Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LabelPropagation,0.7741935483870968,0.7227272727272727,0.7227272727272727,0.7642436925020729,0.02592921257019043
LabelSpreading,0.7741935483870968,0.7227272727272727,0.7227272727272727,0.7642436925020729,0.023936033248901367
LinearDiscriminantAnalysis,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.04709124565124512
BernoulliNB,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.01894998550415039
KNeighborsClassifier,0.7419354838709677,0.6568181818181817,0.6568181818181817,0.7103786816269285,0.02888178825378418
ExtraTreeClassifier,0.7096774193548387,0.6522727272727272,0.6522727272727272,0.6968847475026652,0.018949270248413086
Perceptron,0.6774193548387096,0.6272727272727273,0.6272727272727273,0.6689708141321046,0.018947839736938477
NearestCentroid,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.02892160415649414
PassiveAggressiveClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.019946813583374023
RidgeClassifierCV,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.021495819091796875
RidgeClassifier,0.6451612903225806,0.6022727272727273,0.6022727272727272,0.6410400509535049,0.019946813583374023
NuSVC,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.02493453025817871
LinearSVC,0.6451612903225806,0.5818181818181818,0.5818181818181819,0.6295258025032574,0.034867286682128906
BaggingClassifier,0.6774193548387096,0.5659090909090909,0.5659090909090909,0.6121351766513058,0.05086469650268555
SVC,0.6774193548387096,0.5659090909090909,0.5659090909090909,0.6121351766513058,0.02696537971496582
RandomForestClassifier,0.6774193548387096,0.5659090909090909,0.5659090909090909,0.6121351766513058,0.14761018753051758
XGBClassifier,0.6451612903225806,0.5613636363636363,0.5613636363636364,0.6126923887834704,0.13260602951049805
AdaBoostClassifier,0.6451612903225806,0.5613636363636363,0.5613636363636364,0.6126923887834704,0.18151521682739258
GaussianNB,0.6451612903225806,0.5613636363636363,0.5613636363636364,0.6126923887834704,0.022940874099731445
ExtraTreesClassifier,0.6451612903225806,0.5613636363636363,0.5613636363636364,0.6126923887834704,0.11074233055114746
DecisionTreeClassifier,0.6451612903225806,0.5613636363636363,0.5613636363636364,0.6126923887834704,0.02197861671447754
LogisticRegression,0.6129032258064516,0.5363636363636364,0.5363636363636364,0.587487781036168,0.03789973258972168
LGBMClassifier,0.6129032258064516,0.5363636363636364,0.5363636363636364,0.587487781036168,0.07480001449584961
SGDClassifier,0.5483870967741935,0.5272727272727272,0.5272727272727272,0.5553197509903791,0.019948482513427734
QuadraticDiscriminantAnalysis,0.6451612903225806,0.5,0.5,0.5060088551549652,0.02120184898376465
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.019909381866455078
CalibratedClassifierCV,0.6451612903225806,0.5,0.5,0.5060088551549652,0.07479977607727051
