Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LabelSpreading,0.8064516129032258,0.7681818181818182,0.7681818181818182,0.8013824884792629,0.021944046020507812
LabelPropagation,0.8064516129032258,0.7681818181818182,0.7681818181818182,0.8013824884792629,0.02194070816040039
SGDClassifier,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.02596902847290039
LinearSVC,0.7419354838709677,0.6772727272727272,0.6772727272727272,0.724991854024112,0.02592921257019043
RidgeClassifier,0.7419354838709677,0.6772727272727272,0.6772727272727272,0.724991854024112,0.013964653015136719
Perceptron,0.7419354838709677,0.6772727272727272,0.6772727272727272,0.724991854024112,0.020935773849487305
NuSVC,0.7419354838709677,0.6772727272727272,0.6772727272727272,0.724991854024112,0.01993274688720703
LinearDiscriminantAnalysis,0.7419354838709677,0.6772727272727272,0.6772727272727272,0.724991854024112,0.02293705940246582
NearestCentroid,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.01698446273803711
BernoulliNB,0.6774193548387096,0.6477272727272727,0.6477272727272727,0.6774193548387096,0.017914772033691406
ExtraTreesClassifier,0.7096774193548387,0.6318181818181818,0.631818181818182,0.683111954459203,0.1306133270263672
LGBMClassifier,0.6774193548387096,0.6272727272727273,0.6272727272727273,0.6689708141321046,0.07080912590026855
LogisticRegression,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.024935007095336914
RidgeClassifierCV,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.02892613410949707
XGBClassifier,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.07480120658874512
KNeighborsClassifier,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.020946264266967773
GaussianNB,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.01795029640197754
RandomForestClassifier,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.15554094314575195
SVC,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.02389693260192871
ExtraTreeClassifier,0.6129032258064516,0.5772727272727273,0.5772727272727272,0.6129032258064516,0.020978689193725586
BaggingClassifier,0.6774193548387096,0.5659090909090909,0.5659090909090909,0.6121351766513058,0.046871185302734375
AdaBoostClassifier,0.6451612903225806,0.5409090909090909,0.5409090909090909,0.5887897506291466,0.14565134048461914
DecisionTreeClassifier,0.5483870967741935,0.5068181818181818,0.5068181818181818,0.5483870967741935,0.02692866325378418
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.0189516544342041
QuadraticDiscriminantAnalysis,0.6451612903225806,0.5,0.5,0.5060088551549652,0.021214008331298828
CalibratedClassifierCV,0.6451612903225806,0.5,0.5,0.5060088551549652,0.07085132598876953
PassiveAggressiveClassifier,0.5161290322580645,0.42045454545454547,0.4204545454545454,0.471853257432005,0.019971132278442383
