Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LabelPropagation,0.8064516129032258,0.7681818181818182,0.7681818181818182,0.8013824884792629,0.01790785789489746
LabelSpreading,0.8064516129032258,0.7681818181818182,0.7681818181818182,0.8013824884792629,0.037900447845458984
ExtraTreeClassifier,0.7419354838709677,0.7386363636363636,0.7386363636363636,0.7458970005659309,0.015957117080688477
NuSVC,0.7419354838709677,0.6772727272727272,0.6772727272727272,0.724991854024112,0.019945859909057617
BernoulliNB,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.01600027084350586
NearestCentroid,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.018950223922729492
SGDClassifier,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.01496124267578125
DecisionTreeClassifier,0.6774193548387096,0.6272727272727273,0.6272727272727273,0.6689708141321046,0.024890899658203125
LinearDiscriminantAnalysis,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.04188680648803711
RidgeClassifierCV,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.01861858367919922
XGBClassifier,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.0767519474029541
ExtraTreesClassifier,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.11373376846313477
Perceptron,0.6451612903225806,0.6022727272727273,0.6022727272727272,0.6410400509535049,0.015958309173583984
RidgeClassifier,0.6451612903225806,0.6022727272727273,0.6022727272727272,0.6410400509535049,0.021941184997558594
AdaBoostClassifier,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.17054390907287598
RandomForestClassifier,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.13364458084106445
SVC,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.015002250671386719
KNeighborsClassifier,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.023980140686035156
GaussianNB,0.6451612903225806,0.5613636363636363,0.5613636363636364,0.6126923887834704,0.016915559768676758
LinearSVC,0.6129032258064516,0.5568181818181819,0.5568181818181819,0.6027649769585254,0.034906625747680664
BaggingClassifier,0.6451612903225806,0.5409090909090909,0.5409090909090909,0.5887897506291466,0.04887032508850098
LogisticRegression,0.6129032258064516,0.5363636363636364,0.5363636363636364,0.587487781036168,0.028922080993652344
QuadraticDiscriminantAnalysis,0.6451612903225806,0.5,0.5,0.5060088551549652,0.0169527530670166
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.023937225341796875
CalibratedClassifierCV,0.6451612903225806,0.5,0.5,0.5060088551549652,0.07280397415161133
LGBMClassifier,0.5806451612903226,0.49090909090909096,0.49090909090909096,0.5422728231077377,0.10073041915893555
PassiveAggressiveClassifier,0.45161290322580644,0.3704545454545455,0.3704545454545455,0.4274489675050342,0.022939443588256836
