Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LabelPropagation,0.8064516129032258,0.7681818181818182,0.7681818181818182,0.8013824884792629,0.04089498519897461
LabelSpreading,0.8064516129032258,0.7681818181818182,0.7681818181818182,0.8013824884792629,0.040891408920288086
Perceptron,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.01496124267578125
NuSVC,0.7419354838709677,0.6772727272727272,0.6772727272727272,0.724991854024112,0.017952680587768555
BernoulliNB,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.020981311798095703
NearestCentroid,0.6774193548387096,0.6681818181818182,0.6681818181818181,0.6823712507074136,0.023935556411743164
SGDClassifier,0.6774193548387096,0.6477272727272727,0.6477272727272727,0.6774193548387096,0.019947528839111328
LinearDiscriminantAnalysis,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.04587721824645996
RandomForestClassifier,0.7096774193548387,0.6318181818181818,0.631818181818182,0.683111954459203,0.1765286922454834
ExtraTreesClassifier,0.7096774193548387,0.6318181818181818,0.631818181818182,0.683111954459203,0.11369681358337402
XGBClassifier,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.09275269508361816
RidgeClassifierCV,0.6774193548387096,0.6068181818181818,0.6068181818181818,0.65623981753014,0.022938966751098633
RidgeClassifier,0.6451612903225806,0.6022727272727273,0.6022727272727272,0.6410400509535049,0.026927471160888672
AdaBoostClassifier,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.14261865615844727
BaggingClassifier,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.05784797668457031
GaussianNB,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.01691460609436035
SVC,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.017951250076293945
KNeighborsClassifier,0.6774193548387096,0.5863636363636364,0.5863636363636364,0.6379733520336606,0.056848764419555664
LinearSVC,0.6451612903225806,0.5818181818181818,0.5818181818181819,0.6295258025032574,0.06781911849975586
LogisticRegression,0.6451612903225806,0.5818181818181818,0.5818181818181819,0.6295258025032574,0.04287290573120117
ExtraTreeClassifier,0.6129032258064516,0.5772727272727273,0.5772727272727272,0.6129032258064516,0.015996932983398438
DecisionTreeClassifier,0.6129032258064516,0.5568181818181819,0.5568181818181819,0.6027649769585254,0.022937297821044922
QuadraticDiscriminantAnalysis,0.6451612903225806,0.5,0.5,0.5060088551549652,0.021939516067504883
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.015955448150634766
CalibratedClassifierCV,0.6451612903225806,0.5,0.5,0.5060088551549652,0.06981396675109863
LGBMClassifier,0.5806451612903226,0.49090909090909096,0.49090909090909096,0.5422728231077377,0.49669504165649414
PassiveAggressiveClassifier,0.45161290322580644,0.3704545454545455,0.3704545454545455,0.4274489675050342,0.021940946578979492
