Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreeClassifier,0.7419354838709677,0.7386363636363636,0.7386363636363636,0.7458970005659309,0.016955137252807617
NearestCentroid,0.6774193548387096,0.7295454545454545,0.7295454545454546,0.6801075268817204,0.009933948516845703
RandomForestClassifier,0.7096774193548387,0.7136363636363636,0.7136363636363636,0.7153269398430688,0.2842390537261963
LabelPropagation,0.6774193548387096,0.7090909090909091,0.7090909090909091,0.6835185687178096,0.017993927001953125
LabelSpreading,0.6774193548387096,0.7090909090909091,0.7090909090909091,0.6835185687178096,0.016911745071411133
BernoulliNB,0.6451612903225806,0.7045454545454546,0.7045454545454545,0.6451612903225806,0.010971307754516602
NuSVC,0.6774193548387096,0.6886363636363637,0.6886363636363636,0.6843121036669425,0.01197052001953125
QuadraticDiscriminantAnalysis,0.6774193548387096,0.6681818181818182,0.6681818181818182,0.6823712507074136,0.022940397262573242
XGBClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.0747990608215332
GaussianNB,0.6129032258064516,0.6590909090909092,0.659090909090909,0.6161290322580646,0.01591348648071289
RidgeClassifierCV,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.021941661834716797
SVC,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.012964725494384766
PassiveAggressiveClassifier,0.5483870967741935,0.6295454545454545,0.6295454545454545,0.5313092979127134,0.019944429397583008
LogisticRegression,0.5806451612903226,0.6136363636363636,0.6136363636363635,0.5867799238210806,0.026926040649414062
Perceptron,0.5806451612903226,0.6136363636363636,0.6136363636363635,0.5867799238210806,0.02991962432861328
DecisionTreeClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272727,0.6188455008488963,0.014960050582885742
CalibratedClassifierCV,0.6129032258064516,0.5977272727272727,0.5977272727272727,0.6188455008488963,0.08477187156677246
LinearSVC,0.5806451612903226,0.5931818181818183,0.5931818181818181,0.5895203959720089,0.02896404266357422
RidgeClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818182,0.5569259962049335,0.016954421997070312
AdaBoostClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818182,0.5569259962049335,0.14361882209777832
LinearDiscriminantAnalysis,0.5483870967741935,0.5681818181818181,0.5681818181818182,0.5569259962049335,0.015956878662109375
SGDClassifier,0.5161290322580645,0.5636363636363637,0.5636363636363636,0.5161290322580645,0.015958070755004883
KNeighborsClassifier,0.5806451612903226,0.5522727272727272,0.5522727272727272,0.584385226741468,0.1685483455657959
ExtraTreesClassifier,0.5483870967741935,0.5477272727272727,0.5477272727272727,0.5580369451337194,0.1376781463623047
BaggingClassifier,0.4838709677419355,0.5181818181818182,0.5181818181818182,0.4881720430107527,0.046875953674316406
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.010969161987304688
LGBMClassifier,0.41935483870967744,0.42727272727272725,0.42727272727272725,0.43033342369205746,0.09974360466003418
