Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6774193548387096,0.7295454545454545,0.7295454545454546,0.6801075268817204,0.014001846313476562
SGDClassifier,0.7096774193548387,0.7136363636363636,0.7136363636363636,0.7153269398430688,0.014962196350097656
BernoulliNB,0.6451612903225806,0.7045454545454546,0.7045454545454545,0.6451612903225806,0.014999628067016602
NuSVC,0.6774193548387096,0.6886363636363637,0.6886363636363636,0.6843121036669425,0.014961004257202148
LabelPropagation,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.014962911605834961
XGBClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.07778501510620117
RandomForestClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.1486067771911621
LabelSpreading,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.01596236228942871
RidgeClassifierCV,0.6129032258064516,0.6590909090909092,0.659090909090909,0.6161290322580646,0.01808905601501465
DecisionTreeClassifier,0.6774193548387096,0.6477272727272727,0.6477272727272727,0.6774193548387096,0.019945621490478516
KNeighborsClassifier,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.017947673797607422
SVC,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.021950960159301758
RidgeClassifier,0.5806451612903226,0.6136363636363636,0.6136363636363635,0.5867799238210806,0.014958620071411133
PassiveAggressiveClassifier,0.5161290322580645,0.6045454545454545,0.6045454545454546,0.4895033282130057,0.014921426773071289
ExtraTreeClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272727,0.6188455008488963,0.014997720718383789
ExtraTreesClassifier,0.5806451612903226,0.5931818181818183,0.5931818181818181,0.5895203959720089,0.11270260810852051
LogisticRegression,0.5483870967741935,0.5886363636363636,0.5886363636363636,0.5521505376344086,0.03191375732421875
GaussianNB,0.6774193548387096,0.5863636363636364,0.5863636363636363,0.6379733520336606,0.021937131881713867
CalibratedClassifierCV,0.6129032258064516,0.5772727272727273,0.5772727272727273,0.6129032258064516,0.07679486274719238
AdaBoostClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818182,0.5569259962049335,0.15059733390808105
LinearSVC,0.5483870967741935,0.5681818181818181,0.5681818181818182,0.5569259962049335,0.03491330146789551
Perceptron,0.5161290322580645,0.5636363636363637,0.5636363636363636,0.5161290322580645,0.01499795913696289
BaggingClassifier,0.5161290322580645,0.5431818181818182,0.5431818181818182,0.5232076044089392,0.049866437911987305
QuadraticDiscriminantAnalysis,0.6129032258064516,0.5363636363636364,0.5363636363636364,0.587487781036168,0.019461393356323242
LinearDiscriminantAnalysis,0.5161290322580645,0.5227272727272727,0.5227272727272727,0.5263696876600104,0.017167091369628906
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.014960289001464844
LGBMClassifier,0.41935483870967744,0.42727272727272725,0.42727272727272725,0.43033342369205746,0.0578458309173584
