Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6774193548387096,0.7295454545454545,0.7295454545454546,0.6801075268817204,0.01495981216430664
ExtraTreesClassifier,0.7096774193548387,0.7136363636363636,0.7136363636363636,0.7153269398430688,0.11274600028991699
LabelPropagation,0.6774193548387096,0.7090909090909091,0.7090909090909091,0.6835185687178096,0.014960527420043945
LabelSpreading,0.6774193548387096,0.7090909090909091,0.7090909090909091,0.6835185687178096,0.014959335327148438
BernoulliNB,0.6451612903225806,0.7045454545454546,0.7045454545454545,0.6451612903225806,0.017952442169189453
NuSVC,0.6774193548387096,0.6886363636363637,0.6886363636363636,0.6843121036669425,0.016954421997070312
DecisionTreeClassifier,0.6774193548387096,0.6681818181818182,0.6681818181818182,0.6823712507074136,0.01890850067138672
RandomForestClassifier,0.6774193548387096,0.6681818181818182,0.6681818181818182,0.6823712507074136,0.15558433532714844
XGBClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.07380056381225586
RidgeClassifierCV,0.6129032258064516,0.6590909090909092,0.659090909090909,0.6161290322580646,0.018146991729736328
SVC,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.016916513442993164
PassiveAggressiveClassifier,0.5483870967741935,0.6295454545454545,0.6295454545454545,0.5313092979127134,0.01496124267578125
KNeighborsClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272727,0.6188455008488963,0.017955303192138672
SGDClassifier,0.5806451612903226,0.5931818181818183,0.5931818181818181,0.5895203959720089,0.02098679542541504
LogisticRegression,0.5483870967741935,0.5886363636363636,0.5886363636363636,0.5521505376344086,0.04188847541809082
GaussianNB,0.6774193548387096,0.5863636363636364,0.5863636363636363,0.6379733520336606,0.01994180679321289
CalibratedClassifierCV,0.6129032258064516,0.5772727272727273,0.5772727272727273,0.6129032258064516,0.08776712417602539
AdaBoostClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818182,0.5569259962049335,0.14461421966552734
LinearSVC,0.5483870967741935,0.5681818181818181,0.5681818181818182,0.5569259962049335,0.07280516624450684
QuadraticDiscriminantAnalysis,0.6451612903225806,0.5613636363636363,0.5613636363636363,0.6126923887834704,0.025696992874145508
RidgeClassifier,0.5161290322580645,0.5431818181818182,0.5431818181818182,0.5232076044089392,0.01600050926208496
ExtraTreeClassifier,0.6129032258064516,0.5363636363636364,0.5363636363636364,0.587487781036168,0.013922929763793945
LinearDiscriminantAnalysis,0.5161290322580645,0.5227272727272727,0.5227272727272727,0.5263696876600104,0.01990485191345215
Perceptron,0.4838709677419355,0.5181818181818182,0.5181818181818182,0.4881720430107527,0.013961553573608398
DummyClassifier,0.6451612903225806,0.5,0.5,0.5060088551549652,0.014999866485595703
BaggingClassifier,0.45161290322580644,0.4727272727272727,0.47272727272727266,0.4596352849967979,0.04787135124206543
LGBMClassifier,0.41935483870967744,0.42727272727272725,0.42727272727272725,0.43033342369205746,0.06383037567138672
