Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
PassiveAggressiveClassifier,0.8064516129032258,0.8038461538461539,0.8038461538461539,0.8260368663594471,0.02991962432861328
LabelPropagation,0.9032258064516129,0.7807692307692308,0.7807692307692308,0.8987624264556705,0.018993377685546875
LabelSpreading,0.9032258064516129,0.7807692307692308,0.7807692307692308,0.8987624264556705,0.023892641067504883
LinearSVC,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.029955148696899414
LinearDiscriminantAnalysis,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.024935007095336914
DecisionTreeClassifier,0.7741935483870968,0.7038461538461538,0.7038461538461539,0.793335696561503,0.02094745635986328
NearestCentroid,0.7741935483870968,0.7038461538461538,0.7038461538461539,0.793335696561503,0.028922557830810547
SGDClassifier,0.9032258064516129,0.7,0.7,0.8851277754503561,0.019945383071899414
XGBClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.07675600051879883
ExtraTreeClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.018994808197021484
ExtraTreesClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.1196746826171875
LogisticRegression,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.032912254333496094
RidgeClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.026883602142333984
RidgeClassifierCV,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.022979021072387695
SVC,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.020943641662597656
BernoulliNB,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.02397632598876953
Perceptron,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.02493453025817871
RandomForestClassifier,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.1496429443359375
LGBMClassifier,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.09973335266113281
BaggingClassifier,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.0528569221496582
KNeighborsClassifier,0.7741935483870968,0.5423076923076923,0.5423076923076923,0.7637789950632312,0.021898984909057617
GaussianNB,0.7741935483870968,0.5423076923076923,0.5423076923076923,0.7637789950632312,0.025934696197509766
QuadraticDiscriminantAnalysis,0.8387096774193549,0.5,0.5,0.7651386530843237,0.02194046974182129
DummyClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.018905162811279297
CalibratedClassifierCV,0.8387096774193549,0.5,0.5,0.7651386530843237,0.059844970703125
AdaBoostClassifier,0.7096774193548387,0.4230769230769231,0.4230769230769231,0.6962872793670115,0.15658235549926758
