Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LabelPropagation,0.9032258064516129,0.7807692307692308,0.7807692307692308,0.8987624264556705,0.018947839736938477
LabelSpreading,0.9032258064516129,0.7807692307692308,0.7807692307692308,0.8987624264556705,0.01795220375061035
LinearSVC,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.021943330764770508
PassiveAggressiveClassifier,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.01996445655822754
LinearDiscriminantAnalysis,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.01858687400817871
DecisionTreeClassifier,0.7741935483870968,0.7038461538461538,0.7038461538461539,0.793335696561503,0.0578460693359375
Perceptron,0.7419354838709677,0.6846153846153846,0.6846153846153846,0.7680491551459292,0.015957355499267578
LogisticRegression,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.02094411849975586
RidgeClassifierCV,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.034867286682128906
XGBClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.07077312469482422
ExtraTreeClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.02393484115600586
BernoulliNB,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.034906625747680664
ExtraTreesClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.15259313583374023
SGDClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.02098393440246582
RidgeClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.015953540802001953
NearestCentroid,0.7741935483870968,0.6230769230769231,0.6230769230769231,0.782243689264562,0.017992019653320312
SVC,0.8387096774193549,0.5807692307692308,0.5807692307692307,0.8085462924172602,0.022936105728149414
BaggingClassifier,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.19248580932617188
RandomForestClassifier,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.15662479400634766
KNeighborsClassifier,0.7741935483870968,0.5423076923076923,0.5423076923076923,0.7637789950632312,0.019946813583374023
GaussianNB,0.7741935483870968,0.5423076923076923,0.5423076923076923,0.7637789950632312,0.01795220375061035
QuadraticDiscriminantAnalysis,0.8387096774193549,0.5,0.5,0.7651386530843237,0.01943802833557129
CalibratedClassifierCV,0.8387096774193549,0.5,0.5,0.7651386530843237,0.11668777465820312
DummyClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.03889632225036621
LGBMClassifier,0.7741935483870968,0.46153846153846156,0.46153846153846156,0.7319648093841642,0.05884289741516113
AdaBoostClassifier,0.7096774193548387,0.4230769230769231,0.4230769230769231,0.6962872793670115,1.6625566482543945
