Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearSVC,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.04986572265625
LabelPropagation,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.3730030059814453
PassiveAggressiveClassifier,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.02892279624938965
BaggingClassifier,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.04691338539123535
LinearDiscriminantAnalysis,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.037899017333984375
LabelSpreading,0.8709677419354839,0.7615384615384615,0.7615384615384616,0.8709677419354839,0.3550376892089844
DecisionTreeClassifier,0.7741935483870968,0.7038461538461538,0.7038461538461539,0.793335696561503,0.018950462341308594
LogisticRegression,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.05186200141906738
RidgeClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.01894855499267578
SGDClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.01495981216430664
XGBClassifier,0.8387096774193549,0.6615384615384616,0.6615384615384616,0.8312707107594509,0.0677793025970459
ExtraTreesClassifier,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.3720247745513916
BernoulliNB,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.016915082931518555
Perceptron,0.8064516129032258,0.6423076923076922,0.6423076923076922,0.8064516129032258,0.017951250076293945
NearestCentroid,0.7741935483870968,0.6230769230769231,0.6230769230769231,0.782243689264562,0.03191566467285156
SVC,0.8387096774193549,0.5807692307692308,0.5807692307692307,0.8085462924172602,0.014997482299804688
RandomForestClassifier,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.18550515174865723
RidgeClassifierCV,0.8064516129032258,0.5615384615384615,0.5615384615384615,0.7858422939068102,0.020452260971069336
GaussianNB,0.7741935483870968,0.5423076923076923,0.5423076923076923,0.7637789950632312,0.2602980136871338
DummyClassifier,0.8387096774193549,0.5,0.5,0.7651386530843237,0.031913042068481445
CalibratedClassifierCV,0.8387096774193549,0.5,0.5,0.7651386530843237,0.0937502384185791
QuadraticDiscriminantAnalysis,0.8387096774193549,0.5,0.5,0.7651386530843237,0.020943641662597656
ExtraTreeClassifier,0.6451612903225806,0.4653846153846154,0.46538461538461545,0.6752418088823618,0.017952680587768555
LGBMClassifier,0.7741935483870968,0.46153846153846156,0.46153846153846156,0.7319648093841642,0.059839725494384766
KNeighborsClassifier,0.7419354838709677,0.4423076923076923,0.4423076923076923,0.7144563918757467,0.23836135864257812
AdaBoostClassifier,0.7096774193548387,0.4230769230769231,0.4230769230769231,0.6962872793670115,0.15658211708068848
