Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.01795363426208496
GaussianNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.014962434768676758
NearestCentroid,0.7096774193548387,0.7100840336134454,0.7100840336134453,0.7102841541106278,0.018948793411254883
PassiveAggressiveClassifier,0.6774193548387096,0.6743697478991597,0.6743697478991596,0.6774193548387096,0.020948410034179688
LGBMClassifier,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.0688164234161377
SVC,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.014959335327148438
KNeighborsClassifier,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.03690218925476074
NuSVC,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.02194380760192871
XGBClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.08477449417114258
AdaBoostClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.15358638763427734
DecisionTreeClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.02493143081665039
LabelPropagation,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.02293872833251953
LabelSpreading,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.036902666091918945
BaggingClassifier,0.6451612903225806,0.6260504201680672,0.6260504201680672,0.6293379364908117,0.04986572265625
RidgeClassifier,0.6129032258064516,0.6029411764705883,0.6029411764705881,0.608767576509512,0.01898980140686035
RandomForestClassifier,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.15260076522827148
Perceptron,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.01495981216430664
LogisticRegression,0.5806451612903226,0.5798319327731092,0.5798319327731093,0.5815215559375737,0.024932861328125
RidgeClassifierCV,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.022552967071533203
SGDClassifier,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.014958620071411133
LinearDiscriminantAnalysis,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.022938013076782227
ExtraTreesClassifier,0.5806451612903226,0.5672268907563025,0.5672268907563025,0.5724847428073233,0.13061094284057617
CalibratedClassifierCV,0.5806451612903226,0.5483193277310924,0.5483193277310924,0.5252102499309038,0.07280588150024414
ExtraTreeClassifier,0.5161290322580645,0.5210084033613445,0.5210084033613445,0.5161290322580646,0.01799154281616211
DummyClassifier,0.5483870967741935,0.5,0.5,0.38844086021505375,0.018948793411254883
QuadraticDiscriminantAnalysis,0.5483870967741935,0.5,0.5,0.38844086021505375,0.018322229385375977
LinearSVC,0.4838709677419355,0.4726890756302521,0.47268907563025214,0.47835676867934923,0.029919862747192383
