Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.023937225341796875
GaussianNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.016914844512939453
NearestCentroid,0.7096774193548387,0.7100840336134454,0.7100840336134453,0.7102841541106278,0.015996694564819336
DecisionTreeClassifier,0.6774193548387096,0.6743697478991597,0.6743697478991596,0.6774193548387096,0.02592945098876953
LGBMClassifier,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.061833858489990234
SVC,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.025931119918823242
ExtraTreesClassifier,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.12869834899902344
RandomForestClassifier,0.6774193548387096,0.6617647058823529,0.6617647058823529,0.6675155631013016,0.3001999855041504
KNeighborsClassifier,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.022936344146728516
PassiveAggressiveClassifier,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.015918254852294922
NuSVC,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.017949819564819336
XGBClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.08078169822692871
AdaBoostClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.8567168712615967
LabelSpreading,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.0209043025970459
LabelPropagation,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.01799178123474121
Perceptron,0.6129032258064516,0.615546218487395,0.615546218487395,0.6137096774193549,0.015000104904174805
RidgeClassifier,0.6129032258064516,0.6029411764705883,0.6029411764705881,0.608767576509512,0.016955137252807617
LogisticRegression,0.5806451612903226,0.5798319327731092,0.5798319327731093,0.5815215559375737,0.028927087783813477
LinearSVC,0.5806451612903226,0.5798319327731092,0.5798319327731093,0.5815215559375737,0.026890039443969727
LinearDiscriminantAnalysis,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.01821422576904297
RidgeClassifierCV,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.019946813583374023
BaggingClassifier,0.5806451612903226,0.5609243697478992,0.5609243697478992,0.5619448340345956,0.797860860824585
CalibratedClassifierCV,0.5483870967741935,0.5063025210084033,0.5063025210084033,0.4379382889200561,0.08277654647827148
ExtraTreeClassifier,0.5161290322580645,0.5021008403361344,0.5021008403361344,0.506713164777681,0.016953229904174805
SGDClassifier,0.5161290322580645,0.5021008403361344,0.5021008403361344,0.506713164777681,0.015958309173583984
QuadraticDiscriminantAnalysis,0.5483870967741935,0.5,0.5,0.38844086021505375,0.018465518951416016
DummyClassifier,0.5483870967741935,0.5,0.5,0.38844086021505375,0.01595926284790039
