Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.01990962028503418
GaussianNB,0.7419354838709677,0.7394957983193278,0.7394957983193278,0.7419354838709677,0.014963150024414062
NearestCentroid,0.7096774193548387,0.7100840336134454,0.7100840336134453,0.7102841541106278,0.01695418357849121
PassiveAggressiveClassifier,0.6774193548387096,0.6743697478991597,0.6743697478991596,0.6774193548387096,0.019944429397583008
LGBMClassifier,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.08676767349243164
SVC,0.6774193548387096,0.6680672268907563,0.6680672268907563,0.6739729804245933,0.015997886657714844
KNeighborsClassifier,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.019946813583374023
NuSVC,0.6451612903225806,0.6449579831932774,0.6449579831932772,0.6459028550241009,0.022936344146728516
XGBClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.1316075325012207
AdaBoostClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.1645514965057373
DecisionTreeClassifier,0.6451612903225806,0.6386554621848739,0.6386554621848739,0.6436593275302953,0.021900415420532227
LabelPropagation,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.053856611251831055
ExtraTreesClassifier,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.11469507217407227
LabelSpreading,0.6451612903225806,0.6323529411764706,0.6323529411764706,0.638256320836966,0.02892327308654785
RandomForestClassifier,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.13364052772521973
BaggingClassifier,0.6129032258064516,0.5966386554621849,0.5966386554621849,0.601018675721562,0.04890751838684082
LogisticRegression,0.5806451612903226,0.5798319327731092,0.5798319327731093,0.5815215559375737,0.0249330997467041
RidgeClassifierCV,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.018982648849487305
RidgeClassifier,0.5806451612903226,0.5735294117647058,0.5735294117647058,0.5788701143539854,0.022940397262573242
LinearDiscriminantAnalysis,0.5483870967741935,0.5441176470588236,0.5441176470588235,0.5483870967741935,0.030920028686523438
LinearSVC,0.5161290322580645,0.5084033613445378,0.5084033613445378,0.5140809011776754,0.02792191505432129
CalibratedClassifierCV,0.5483870967741935,0.5063025210084033,0.5063025210084033,0.4379382889200561,0.07081007957458496
Perceptron,0.5161290322580645,0.5021008403361344,0.5021008403361344,0.506713164777681,0.016956329345703125
QuadraticDiscriminantAnalysis,0.5483870967741935,0.5,0.5,0.38844086021505375,0.016955852508544922
DummyClassifier,0.5483870967741935,0.5,0.5,0.38844086021505375,0.01795339584350586
ExtraTreeClassifier,0.4838709677419355,0.4726890756302521,0.47268907563025214,0.47835676867934923,0.016952991485595703
SGDClassifier,0.45161290322580644,0.44957983193277307,0.4495798319327731,0.4527589577645195,0.014925003051757812
