Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.5161290322580645,0.40079365079365076,,0.5299539170506913,0.09873175621032715
ExtraTreesClassifier,0.4838709677419355,0.35317460317460314,,0.42995391705069125,0.2902181148529053
RidgeClassifierCV,0.4838709677419355,0.32142857142857145,,0.41935483870967744,0.02489447593688965
RidgeClassifier,0.4838709677419355,0.32142857142857145,,0.4236559139784946,0.026520252227783203
PassiveAggressiveClassifier,0.3870967741935484,0.3134920634920635,,0.43855606758832566,0.07376384735107422
LinearDiscriminantAnalysis,0.45161290322580644,0.3055555555555555,,0.4301075268817204,0.023687124252319336
RandomForestClassifier,0.41935483870967744,0.28174603174603174,,0.34960201089233345,0.2114865779876709
GaussianNB,0.3548387096774194,0.2698412698412698,,0.25437788018433183,0.029958009719848633
BaggingClassifier,0.3225806451612903,0.246031746031746,,0.25806451612903225,0.12067198753356934
NearestCentroid,0.3225806451612903,0.246031746031746,,0.35576036866359445,0.025931119918823242
LGBMClassifier,0.3870967741935484,0.246031746031746,,0.3742959549411163,2.676842212677002
LabelSpreading,0.3870967741935484,0.2341269841269841,,0.39170506912442393,0.02198052406311035
LabelPropagation,0.3870967741935484,0.2341269841269841,,0.39170506912442393,0.022937297821044922
ExtraTreeClassifier,0.25806451612903225,0.22222222222222218,,0.26236559139784943,0.3550586700439453
LinearSVC,0.3225806451612903,0.21825396825396823,,0.35791090629800304,0.09973978996276855
Perceptron,0.2903225806451613,0.19444444444444442,,0.3187403993855607,0.05086851119995117
KNeighborsClassifier,0.3225806451612903,0.1746031746031746,,0.2927663734115347,0.020906686782836914
CalibratedClassifierCV,0.25806451612903225,0.1746031746031746,,0.1805367308213608,0.5345556735992432
SGDClassifier,0.22580645161290322,0.15873015873015872,,0.23118279569892472,0.04392361640930176
BernoulliNB,0.25806451612903225,0.15079365079365079,,0.19384379061798412,0.02690410614013672
DecisionTreeClassifier,0.1935483870967742,0.14285714285714285,,0.15698924731182798,0.5106372833251953
SVC,0.25806451612903225,0.14285714285714285,,0.13130095710740872,0.03191423416137695
DummyClassifier,0.12903225806451613,0.047619047619047616,,0.02949308755760369,0.33011579513549805
AdaBoostClassifier,0.12903225806451613,0.047619047619047616,,0.08602150537634408,0.23337626457214355
