Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearDiscriminantAnalysis,0.5161290322580645,0.40079365079365076,,0.49462365591397844,0.018985271453857422
ExtraTreesClassifier,0.4838709677419355,0.35317460317460314,,0.44393241167434716,0.13268494606018066
RidgeClassifierCV,0.4838709677419355,0.32142857142857145,,0.4088954056695992,0.03594350814819336
RidgeClassifier,0.4838709677419355,0.32142857142857145,,0.4164222873900293,0.019216060638427734
Perceptron,0.41935483870967744,0.30952380952380953,,0.4301075268817204,0.03789806365966797
CalibratedClassifierCV,0.41935483870967744,0.3055555555555555,,0.36067588325652844,0.4398229122161865
LogisticRegression,0.45161290322580644,0.3055555555555555,,0.4783410138248848,0.09769964218139648
PassiveAggressiveClassifier,0.41935483870967744,0.2936507936507936,,0.4247311827956989,0.05485415458679199
RandomForestClassifier,0.41935483870967744,0.28174603174603174,,0.32933947772657446,0.21442365646362305
LabelPropagation,0.41935483870967744,0.28174603174603174,,0.4027137736815156,0.016911983489990234
LabelSpreading,0.41935483870967744,0.28174603174603174,,0.4027137736815156,0.01695704460144043
GaussianNB,0.3548387096774194,0.2698412698412698,,0.24392059553349876,0.023935317993164062
LinearSVC,0.3548387096774194,0.25396825396825395,,0.3709677419354839,0.1047210693359375
LGBMClassifier,0.3870967741935484,0.246031746031746,,0.3742959549411162,2.75559401512146
NearestCentroid,0.3225806451612903,0.22222222222222218,,0.35576036866359445,0.015005111694335938
KNeighborsClassifier,0.3548387096774194,0.22222222222222218,,0.34330400782013687,0.016958236694335938
SVC,0.3225806451612903,0.1865079365079365,,0.2903225806451613,0.026967287063598633
BernoulliNB,0.2903225806451613,0.1746031746031746,,0.22734254992319508,0.01596212387084961
BaggingClassifier,0.25806451612903225,0.16666666666666666,,0.21459293394777265,0.10966181755065918
DecisionTreeClassifier,0.25806451612903225,0.1349206349206349,,0.2698924731182796,0.029918193817138672
SGDClassifier,0.22580645161290322,0.1349206349206349,,0.2751152073732719,0.03985142707824707
ExtraTreeClassifier,0.1935483870967742,0.09126984126984126,,0.2344086021505376,0.01392364501953125
DummyClassifier,0.12903225806451613,0.047619047619047616,,0.02949308755760369,0.012964963912963867
AdaBoostClassifier,0.12903225806451613,0.047619047619047616,,0.08602150537634408,0.22444510459899902
