Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7096774193548387,0.7136363636363636,0.7136363636363636,0.7153269398430688,0.02489471435546875
AdaBoostClassifier,0.6774193548387096,0.7090909090909091,0.7090909090909092,0.6835185687178096,0.13966751098632812
RandomForestClassifier,0.6774193548387096,0.7090909090909091,0.7090909090909092,0.6835185687178096,0.16156983375549316
XGBClassifier,0.6451612903225806,0.6840909090909091,0.6840909090909092,0.6503522432332222,0.08876633644104004
BernoulliNB,0.7096774193548387,0.6727272727272727,0.6727272727272727,0.7063054962346859,0.018912315368652344
ExtraTreeClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.35405421257019043
ExtraTreesClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.6432735919952393
BaggingClassifier,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.0498652458190918
QuadraticDiscriminantAnalysis,0.5806451612903226,0.6340909090909091,0.634090909090909,0.5806451612903226,0.02293872833251953
GaussianNB,0.5483870967741935,0.6295454545454545,0.6295454545454546,0.5313092979127134,0.024932861328125
RidgeClassifier,0.6451612903225806,0.6227272727272727,0.6227272727272727,0.6483259610889344,0.03690004348754883
RidgeClassifierCV,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.030524015426635742
LGBMClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.06582379341125488
NearestCentroid,0.5483870967741935,0.6090909090909091,0.6090909090909091,0.5436827956989246,0.019986391067504883
LogisticRegression,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.030916213989257812
Perceptron,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.0249330997467041
KNeighborsClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.027924776077270508
SGDClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.01891160011291504
PassiveAggressiveClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.022937774658203125
SVC,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.019944190979003906
CalibratedClassifierCV,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.07982373237609863
LinearSVC,0.5483870967741935,0.5477272727272727,0.5477272727272727,0.5580369451337194,0.03789687156677246
LinearDiscriminantAnalysis,0.5161290322580645,0.5431818181818182,0.5431818181818181,0.5232076044089392,0.024935245513916016
LabelSpreading,0.5483870967741935,0.5272727272727272,0.5272727272727272,0.5553197509903791,0.0219423770904541
LabelPropagation,0.5483870967741935,0.5272727272727272,0.5272727272727272,0.5553197509903791,0.023936033248901367
DecisionTreeClassifier,0.5161290322580645,0.5227272727272727,0.5227272727272727,0.5263696876600104,0.3011898994445801
DummyClassifier,0.3548387096774194,0.5,0.5,0.1858678955453149,0.2762601375579834
