Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.7096774193548387,0.7136363636363636,0.7136363636363636,0.7153269398430688,0.030932903289794922
QuadraticDiscriminantAnalysis,0.6774193548387096,0.7090909090909091,0.7090909090909092,0.6835185687178096,0.02397608757019043
RidgeClassifierCV,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.02387523651123047
NuSVC,0.6774193548387096,0.6886363636363637,0.6886363636363637,0.6843121036669425,0.016992807388305664
KNeighborsClassifier,0.6451612903225806,0.6840909090909091,0.6840909090909092,0.6503522432332222,0.01895284652709961
RandomForestClassifier,0.6451612903225806,0.6636363636363636,0.6636363636363637,0.6526711042840075,0.1485605239868164
NearestCentroid,0.6774193548387096,0.6477272727272727,0.6477272727272727,0.6774193548387096,0.017934799194335938
LabelPropagation,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.026922941207885742
LabelSpreading,0.6451612903225806,0.6431818181818182,0.6431818181818181,0.6520662598081952,0.02297806739807129
AdaBoostClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.1326463222503662
XGBClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.07480001449584961
ExtraTreesClassifier,0.6129032258064516,0.6386363636363637,0.6386363636363637,0.6202222824613716,0.10567927360534668
SVC,0.5806451612903226,0.6340909090909091,0.634090909090909,0.5806451612903226,0.015958070755004883
RidgeClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.013962507247924805
LGBMClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.07380175590515137
BaggingClassifier,0.6129032258064516,0.6181818181818182,0.6181818181818182,0.6211745244003308,0.04591965675354004
BernoulliNB,0.6451612903225806,0.6022727272727273,0.6022727272727272,0.6410400509535049,0.014922142028808594
ExtraTreeClassifier,0.6129032258064516,0.5977272727272727,0.5977272727272728,0.6188455008488963,0.01396322250366211
LinearSVC,0.5806451612903226,0.5931818181818183,0.5931818181818183,0.5895203959720089,0.028881311416625977
SGDClassifier,0.5806451612903226,0.5727272727272728,0.5727272727272728,0.5888055797733216,0.016951322555541992
DecisionTreeClassifier,0.5483870967741935,0.5681818181818181,0.5681818181818181,0.5569259962049335,0.016955137252807617
GaussianNB,0.45161290322580644,0.5545454545454546,0.5545454545454545,0.398256320836966,0.020943403244018555
CalibratedClassifierCV,0.5161290322580645,0.5431818181818182,0.5431818181818181,0.5232076044089392,0.06582427024841309
LinearDiscriminantAnalysis,0.4838709677419355,0.5181818181818182,0.5181818181818182,0.4881720430107527,0.01795649528503418
DummyClassifier,0.3548387096774194,0.5,0.5,0.1858678955453149,0.014998197555541992
Perceptron,0.5161290322580645,0.4818181818181818,0.48181818181818187,0.5204444923940016,0.014964818954467773
PassiveAggressiveClassifier,0.4838709677419355,0.4772727272727273,0.4772727272727273,0.49489936586710775,0.014922618865966797
