Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.7741935483870968,0.6847826086956521,0.6847826086956522,0.7690688629604209,1.6465990543365479
BernoulliNB,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.021942138671875
RandomForestClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.14760994911193848
GaussianNB,0.6451612903225806,0.6385869565217391,0.6385869565217391,0.6657674871679593,0.01695418357849121
DecisionTreeClassifier,0.7419354838709677,0.6222826086956521,0.6222826086956521,0.7288786482334868,0.01695394515991211
SVC,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.01591777801513672
BaggingClassifier,0.6774193548387096,0.5788043478260869,0.578804347826087,0.6774193548387096,0.09275150299072266
LGBMClassifier,0.6774193548387096,0.5788043478260869,0.578804347826087,0.6774193548387096,0.061835527420043945
LogisticRegression,0.7096774193548387,0.5597826086956521,0.5597826086956521,0.685066085987745,0.01994919776916504
LabelPropagation,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.020961999893188477
LabelSpreading,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.018930912017822266
NearestCentroid,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.014003753662109375
ExtraTreesClassifier,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.2014172077178955
RidgeClassifier,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.019947052001953125
RidgeClassifierCV,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.024158954620361328
XGBClassifier,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.08377623558044434
KNeighborsClassifier,0.7096774193548387,0.5190217391304348,0.5190217391304348,0.6579265137139898,0.019947528839111328
QuadraticDiscriminantAnalysis,0.7419354838709677,0.5,0.5,0.6320191158900836,0.018088817596435547
DummyClassifier,0.7419354838709677,0.5,0.5,0.6320191158900836,0.015958786010742188
LinearDiscriminantAnalysis,0.6129032258064516,0.4945652173913043,0.49456521739130427,0.6129032258064515,0.017886638641357422
ExtraTreeClassifier,0.6129032258064516,0.4945652173913043,0.49456521739130427,0.6129032258064515,0.01600050926208496
PassiveAggressiveClassifier,0.6129032258064516,0.4945652173913043,0.49456521739130427,0.6129032258064515,0.018907785415649414
CalibratedClassifierCV,0.7096774193548387,0.4782608695652174,0.4782608695652174,0.6159464394400487,0.061834096908569336
LinearSVC,0.6451612903225806,0.47554347826086957,0.47554347826086957,0.6150807717627993,0.020941972732543945
SGDClassifier,0.6451612903225806,0.47554347826086957,0.47554347826086957,0.6150807717627993,0.015956878662109375
Perceptron,0.6129032258064516,0.453804347826087,0.453804347826087,0.5933179723502303,0.015995502471923828
