Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
GaussianNB,0.6129032258064516,0.7391304347826086,0.7391304347826086,0.6275413391162917,0.017956256866455078
AdaBoostClassifier,0.7741935483870968,0.6847826086956521,0.6847826086956522,0.7690688629604209,0.14162063598632812
BernoulliNB,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.013941764831542969
RandomForestClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.15953445434570312
KNeighborsClassifier,0.7741935483870968,0.6440217391304348,0.6440217391304348,0.7550514002126906,0.019946575164794922
ExtraTreesClassifier,0.7419354838709677,0.6222826086956521,0.6222826086956521,0.7288786482334868,0.10073232650756836
BaggingClassifier,0.7096774193548387,0.6005434782608696,0.6005434782608696,0.7030885380919698,0.04394674301147461
LGBMClassifier,0.7096774193548387,0.6005434782608696,0.6005434782608696,0.7030885380919698,0.05585050582885742
SVC,0.7419354838709677,0.5815217391304348,0.5815217391304348,0.7092473118279571,0.01595759391784668
RidgeClassifier,0.6774193548387096,0.5788043478260869,0.578804347826087,0.6774193548387096,0.01898980140686035
ExtraTreeClassifier,0.7096774193548387,0.5597826086956521,0.5597826086956521,0.685066085987745,0.015957117080688477
LogisticRegression,0.7096774193548387,0.5597826086956521,0.5597826086956521,0.685066085987745,0.026880741119384766
LabelPropagation,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.015957355499267578
LabelSpreading,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.015997648239135742
LinearDiscriminantAnalysis,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.018420934677124023
DecisionTreeClassifier,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.02194046974182129
NearestCentroid,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.019986867904663086
SGDClassifier,0.6451612903225806,0.5570652173913043,0.5570652173913043,0.6516550706304026,0.01495981216430664
XGBClassifier,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.07380080223083496
RidgeClassifierCV,0.6774193548387096,0.5380434782608696,0.5380434782608695,0.6610983102918587,0.01885986328125
LinearSVC,0.6451612903225806,0.5163043478260869,0.5163043478260869,0.6371082132235187,0.01799941062927246
PassiveAggressiveClassifier,0.6451612903225806,0.5163043478260869,0.5163043478260869,0.6371082132235187,0.020945072174072266
QuadraticDiscriminantAnalysis,0.7419354838709677,0.5,0.5,0.6320191158900836,0.01934814453125
DummyClassifier,0.7419354838709677,0.5,0.5,0.6320191158900836,0.027924776077270508
CalibratedClassifierCV,0.7096774193548387,0.4782608695652174,0.4782608695652174,0.6159464394400487,0.040849924087524414
Perceptron,0.5161290322580645,0.38858695652173914,0.38858695652173914,0.5249841872232763,0.01596212387084961
