Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.9032258064516129,0.898989898989899,0.898989898989899,0.9046472144351878,0.07081103324890137
BernoulliNB,0.8387096774193549,0.8863636363636364,0.8863636363636364,0.8459021109792498,0.03390860557556152
LogisticRegression,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.032912254333496094
RidgeClassifierCV,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.02280879020690918
RidgeClassifier,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.026883840560913086
Perceptron,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.020944833755493164
LinearSVC,0.8387096774193549,0.8535353535353536,0.8535353535353534,0.8443295492862762,0.031914472579956055
XGBClassifier,0.8709677419354839,0.8434343434343434,0.8434343434343433,0.8709677419354839,0.08078384399414062
LinearDiscriminantAnalysis,0.8064516129032258,0.8308080808080808,0.8308080808080808,0.8143695014662756,0.029919862747192383
PassiveAggressiveClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.03490757942199707
LabelPropagation,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.01994800567626953
LabelSpreading,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.023894548416137695
NuSVC,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.03785824775695801
SVC,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.01990532875061035
CalibratedClassifierCV,0.8387096774193549,0.7550505050505051,0.7550505050505051,0.8277282086479067,0.0638279914855957
KNeighborsClassifier,0.7741935483870968,0.7424242424242424,0.7424242424242422,0.7775101670154382,0.022935152053833008
ExtraTreeClassifier,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.0189511775970459
NearestCentroid,0.6129032258064516,0.7272727272727273,0.7272727272727273,0.6177419354838709,0.020984411239624023
ExtraTreesClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.10974478721618652
BaggingClassifier,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.05086922645568848
DecisionTreeClassifier,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.021940231323242188
RandomForestClassifier,0.7419354838709677,0.6212121212121212,0.6212121212121211,0.7158218125960061,0.13967061042785645
SGDClassifier,0.5483870967741935,0.6161616161616161,0.6161616161616161,0.562618595825427,0.01995062828063965
AdaBoostClassifier,0.7096774193548387,0.5984848484848485,0.5984848484848484,0.6899107755662321,0.13663458824157715
GaussianNB,0.3548387096774194,0.5454545454545454,0.5454545454545454,0.255800792303339,0.02593541145324707
QuadraticDiscriminantAnalysis,0.7096774193548387,0.5,0.5,0.5891661594643944,0.03291010856628418
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.019907474517822266
