Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.8709677419354839,0.9090909090909092,0.9090909090909091,0.8762463343108504,0.014003753662109375
LogisticRegression,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.02393507957458496
RidgeClassifier,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.015004634857177734
PassiveAggressiveClassifier,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.01795172691345215
Perceptron,0.8064516129032258,0.8636363636363636,0.8636363636363636,0.815365025466893,0.014961719512939453
LinearSVC,0.8387096774193549,0.8535353535353536,0.8535353535353534,0.8443295492862762,0.028924942016601562
SGDClassifier,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.020925283432006836
RidgeClassifierCV,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.024211883544921875
LabelPropagation,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.023932933807373047
LabelSpreading,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.01795220375061035
XGBClassifier,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.19644522666931152
NearestCentroid,0.7419354838709677,0.7853535353535352,0.7853535353535355,0.7538200339558574,0.022937774658203125
LinearDiscriminantAnalysis,0.7741935483870968,0.7752525252525253,0.7752525252525252,0.7820613690007868,0.0249326229095459
NuSVC,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.01994609832763672
AdaBoostClassifier,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.15658235549926758
ExtraTreesClassifier,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.19846725463867188
KNeighborsClassifier,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.05686068534851074
SVC,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.01599717140197754
CalibratedClassifierCV,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.058838844299316406
LGBMClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,1.352379322052002
RandomForestClassifier,0.8064516129032258,0.6994949494949495,0.6994949494949495,0.7868663594470046,0.13859224319458008
BaggingClassifier,0.7419354838709677,0.6868686868686869,0.6868686868686869,0.7419354838709677,0.04388308525085449
GaussianNB,0.5483870967741935,0.6818181818181819,0.6818181818181819,0.5418010752688173,0.026928424835205078
DecisionTreeClassifier,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.018949270248413086
ExtraTreeClassifier,0.6129032258064516,0.595959595959596,0.595959595959596,0.6287390029325514,0.01691722869873047
QuadraticDiscriminantAnalysis,0.7096774193548387,0.5,0.5,0.5891661594643944,0.01708078384399414
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.014960765838623047
