Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
SGDClassifier,0.9032258064516129,0.9318181818181819,0.9318181818181819,0.9065977295717658,0.015955686569213867
PassiveAggressiveClassifier,0.9032258064516129,0.9318181818181819,0.9318181818181819,0.9065977295717658,0.01794886589050293
BernoulliNB,0.8387096774193549,0.8863636363636364,0.8863636363636364,0.8459021109792498,0.024933576583862305
LogisticRegression,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.02194070816040039
RidgeClassifier,0.8709677419354839,0.8762626262626263,0.8762626262626262,0.8743471582181259,0.01695394515991211
LinearSVC,0.8387096774193549,0.8535353535353536,0.8535353535353534,0.8443295492862762,0.025968551635742188
LinearDiscriminantAnalysis,0.8064516129032258,0.8308080808080808,0.8308080808080808,0.8143695014662756,0.01994800567626953
RidgeClassifierCV,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.0219419002532959
LabelPropagation,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.025928258895874023
LabelSpreading,0.8387096774193549,0.8207070707070707,0.8207070707070706,0.8410786907253127,0.018949508666992188
NearestCentroid,0.7741935483870968,0.8080808080808081,0.8080808080808081,0.7842629553709497,0.016955137252807617
Perceptron,0.8064516129032258,0.797979797979798,0.7979797979797979,0.811520737327189,0.016916990280151367
XGBClassifier,0.8387096774193549,0.7878787878787878,0.7878787878787877,0.8357579590976175,0.07276582717895508
NuSVC,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.018952608108520508
AdaBoostClassifier,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.15957331657409668
ExtraTreesClassifier,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,1.2416489124298096
CalibratedClassifierCV,0.8064516129032258,0.7651515151515151,0.765151515151515,0.8064516129032258,0.06483149528503418
KNeighborsClassifier,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.02693033218383789
RandomForestClassifier,0.8064516129032258,0.7323232323232323,0.7323232323232324,0.798562412342216,0.1655576229095459
BaggingClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.043882131576538086
SVC,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.0149993896484375
LGBMClassifier,0.7741935483870968,0.7095959595959596,0.7095959595959596,0.7700611427366646,0.0608372688293457
GaussianNB,0.5806451612903226,0.7045454545454546,0.7045454545454546,0.5806451612903226,0.3301081657409668
DecisionTreeClassifier,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.015958547592163086
ExtraTreeClassifier,0.5806451612903226,0.5075757575757576,0.5075757575757576,0.5868045958858136,0.015996932983398438
QuadraticDiscriminantAnalysis,0.7096774193548387,0.5,0.5,0.5891661594643944,0.02094411849975586
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.01994490623474121
