Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.009972333908081055
GaussianNB,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.015956640243530273
NearestCentroid,0.6774193548387096,0.7070707070707071,0.7070707070707071,0.6922750424448217,0.018949031829833984
LinearDiscriminantAnalysis,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.01495814323425293
LabelPropagation,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.010969877243041992
LabelSpreading,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.013964176177978516
Perceptron,0.6774193548387096,0.6414141414141414,0.6414141414141414,0.6858678955453149,0.015958786010742188
DecisionTreeClassifier,0.7096774193548387,0.5984848484848485,0.5984848484848484,0.6899107755662321,0.0189516544342041
LogisticRegression,0.7096774193548387,0.5984848484848485,0.5984848484848484,0.6899107755662321,0.01595902442932129
LGBMClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.0578463077545166
ExtraTreeClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.010971307754516602
ExtraTreesClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.10970687866210938
LinearSVC,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.015957117080688477
BaggingClassifier,0.7419354838709677,0.5555555555555556,0.5555555555555556,0.6585607940446649,0.05784463882446289
XGBClassifier,0.7419354838709677,0.5555555555555556,0.5555555555555556,0.6585607940446649,0.0578458309173584
RidgeClassifier,0.6774193548387096,0.5429292929292929,0.5429292929292929,0.6447772657450075,0.016956329345703125
SGDClassifier,0.6774193548387096,0.5429292929292929,0.5429292929292929,0.6447772657450075,0.012965202331542969
AdaBoostClassifier,0.6774193548387096,0.5429292929292929,0.5429292929292929,0.6447772657450075,0.15658330917358398
RidgeClassifierCV,0.7096774193548387,0.5328282828282829,0.5328282828282829,0.6372261514576506,0.017950057983398438
KNeighborsClassifier,0.6774193548387096,0.51010101010101,0.5101010101010102,0.6161290322580646,0.013964176177978516
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.010968685150146484
CalibratedClassifierCV,0.7096774193548387,0.5,0.5,0.5891661594643944,0.05485367774963379
QuadraticDiscriminantAnalysis,0.7096774193548387,0.5,0.5,0.5891661594643944,0.01396322250366211
RandomForestClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.1904888153076172
SVC,0.7096774193548387,0.5,0.5,0.5891661594643944,0.011968612670898438
PassiveAggressiveClassifier,0.6451612903225806,0.48737373737373735,0.4873737373737374,0.5950270927229452,0.014956951141357422
