Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.7096774193548387,0.7297979797979798,0.7297979797979798,0.7226237997626498,0.017952442169189453
NearestCentroid,0.6774193548387096,0.7070707070707071,0.7070707070707071,0.6922750424448217,0.023895978927612305
LabelSpreading,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.018949508666992188
LinearDiscriminantAnalysis,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.022938251495361328
LabelPropagation,0.7419354838709677,0.654040404040404,0.654040404040404,0.7314165497896213,0.017953872680664062
ExtraTreesClassifier,0.7741935483870968,0.6439393939393939,0.6439393939393939,0.7422899680964197,0.1077125072479248
GaussianNB,0.5806451612903226,0.6388888888888888,0.6388888888888888,0.5966205837173578,0.01899266242980957
SGDClassifier,0.7096774193548387,0.6313131313131313,0.6313131313131313,0.7043643263757116,0.013967037200927734
Perceptron,0.6774193548387096,0.6085858585858586,0.6085858585858586,0.6774193548387096,0.01894354820251465
LGBMClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.060836076736450195
RandomForestClassifier,0.7419354838709677,0.5883838383838385,0.5883838383838385,0.6929032258064516,0.1466536521911621
LinearSVC,0.6451612903225806,0.5858585858585859,0.5858585858585859,0.6503731195956884,0.03490638732910156
ExtraTreeClassifier,0.7096774193548387,0.5656565656565656,0.5656565656565656,0.6686585304096826,0.017920970916748047
XGBClassifier,0.7419354838709677,0.5555555555555556,0.5555555555555556,0.6585607940446649,0.06582403182983398
LogisticRegression,0.6774193548387096,0.5429292929292929,0.5429292929292929,0.6447772657450075,0.03195500373840332
AdaBoostClassifier,0.6774193548387096,0.5429292929292929,0.5429292929292929,0.6447772657450075,0.17453336715698242
BaggingClassifier,0.7096774193548387,0.5328282828282829,0.5328282828282829,0.6372261514576506,0.04487967491149902
RidgeClassifierCV,0.7096774193548387,0.5328282828282829,0.5328282828282829,0.6372261514576506,0.019045114517211914
DecisionTreeClassifier,0.6451612903225806,0.5202020202020202,0.5202020202020202,0.6210020590253946,0.019946575164794922
KNeighborsClassifier,0.6774193548387096,0.51010101010101,0.5101010101010102,0.6161290322580646,0.022898197174072266
RidgeClassifier,0.6774193548387096,0.51010101010101,0.5101010101010102,0.6161290322580646,0.024933815002441406
DummyClassifier,0.7096774193548387,0.5,0.5,0.5891661594643944,0.018981456756591797
QuadraticDiscriminantAnalysis,0.7096774193548387,0.5,0.5,0.5891661594643944,0.018949270248413086
CalibratedClassifierCV,0.7096774193548387,0.5,0.5,0.5891661594643944,0.061836957931518555
SVC,0.7096774193548387,0.5,0.5,0.5891661594643944,0.014917850494384766
PassiveAggressiveClassifier,0.6451612903225806,0.48737373737373735,0.4873737373737374,0.5950270927229452,0.019951581954956055
