Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.7741935483870968,0.7023809523809523,0.7023809523809523,0.7793182338137726,0.027967453002929688
LabelPropagation,0.7419354838709677,0.6815476190476191,0.6815476190476191,0.7524544179523142,0.017992258071899414
LabelSpreading,0.7419354838709677,0.6815476190476191,0.6815476190476191,0.7524544179523142,0.018945932388305664
LinearSVC,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.021898984909057617
SGDClassifier,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.01196908950805664
DecisionTreeClassifier,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.02592945098876953
GaussianNB,0.7096774193548387,0.6607142857142857,0.6607142857142857,0.7256166982922201,0.011966466903686523
PassiveAggressiveClassifier,0.6774193548387096,0.6398809523809523,0.6398809523809523,0.6985988921472793,0.015949726104736328
RidgeClassifierCV,0.7419354838709677,0.6309523809523809,0.6309523809523809,0.7419354838709677,0.012966156005859375
ExtraTreeClassifier,0.7419354838709677,0.6309523809523809,0.6309523809523809,0.7419354838709677,0.00997161865234375
NuSVC,0.8064516129032258,0.6220238095238095,0.6220238095238094,0.7751861042183624,0.02194952964782715
LinearDiscriminantAnalysis,0.6451612903225806,0.6190476190476191,0.6190476190476191,0.6712204366881195,0.016957521438598633
RidgeClassifier,0.6451612903225806,0.6190476190476191,0.6190476190476191,0.6712204366881195,0.014959573745727539
NearestCentroid,0.7096774193548387,0.6101190476190476,0.6101190476190476,0.7162663006177077,0.01192617416381836
SVC,0.7741935483870968,0.6011904761904762,0.601190476190476,0.7500431257547007,0.014958620071411133
KNeighborsClassifier,0.7419354838709677,0.5803571428571428,0.5803571428571429,0.7255913978494625,0.013965368270874023
BaggingClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,1.0013186931610107
RandomForestClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.1944410800933838
ExtraTreesClassifier,0.7096774193548387,0.5595238095238095,0.5595238095238095,0.7014736415658076,0.149644136428833
AdaBoostClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.6412923336029053
Perceptron,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.01599907875061035
LGBMClassifier,0.6774193548387096,0.5386904761904762,0.5386904761904762,0.6774193548387096,0.05285954475402832
BernoulliNB,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.0359036922454834
XGBClassifier,0.6451612903225806,0.5178571428571428,0.5178571428571428,0.6532143674216427,0.07380175590515137
QuadraticDiscriminantAnalysis,0.7741935483870968,0.5,0.5,0.6756598240469208,0.016953468322753906
DummyClassifier,0.7741935483870968,0.5,0.5,0.6756598240469208,0.009975194931030273
CalibratedClassifierCV,0.6774193548387096,0.4375,0.4375,0.6253101736972705,0.09773969650268555
