ID Strain;Cluster3;Cluster4;Cluster5;Cluster_Genetic
V13;0;3;3;3
V142;0;3;3;1
V151;1;0;4;3
V160;0;3;3;3
V161;0;3;3;1
V175;0;1;1;2
V186;0;3;3;1
V188;1;0;4;2
V190;1;0;2;
V195;0;3;3;1
V197;0;1;1;1
V199;0;1;1;1
V200;1;0;2;
V210;0;1;1;3
V211;1;0;2;
V214;1;0;2;
V216;2;2;0;4
V217;1;0;2;
V220;2;2;0;4
V222;0;1;1;1
V227;1;0;2;
V230;1;0;2;
V231;0;3;3;1
V235;1;0;2;
V237;1;0;2;
V239;1;0;2;
V240;2;2;0;4
V246;1;0;4;
V247;1;0;2;
V249;1;0;2;
V252;1;0;2;
V253;0;3;3;3
V254;1;0;2;
V283;1;0;4;1
V284;1;0;2;
V286;1;0;2;
V287;1;0;2;
V288;1;0;2;
V289;0;3;3;3
V290;1;0;2;
V291;0;3;3;1
V292;1;0;2;
V293;2;2;0;1
V295;1;0;2;
V297;0;3;3;1
V298;1;0;2;
V299;1;0;2;
V30;0;3;3;3
V300;2;2;0;4
V301;0;1;1;3
V302;1;0;4;3
V303;0;3;3;1
V304;0;3;3;1
V305;2;2;0;4
V306;1;0;4;2
V4;0;3;3;3
V418;2;2;0;1
V420;0;3;3;1
V421;0;1;1;1
V43;0;3;3;1
V450;1;0;4;3
V474;0;1;1;3
V489;1;0;2;
V490;1;0;2;
V491;0;1;1;1
V492;2;2;0;4
V493;0;1;1;2
V494;1;0;2;
V5;1;0;4;2
V515;2;2;0;4
V516;2;2;0;4
V517;1;0;2;
V518;0;1;1;3
V519;0;1;1;3
V52;2;2;0;4
V53;1;0;4;1
V531;0;1;1;3
V532;1;0;4;1
V534;2;2;0;4
V535;1;0;2;
V536;2;2;0;1
V538;0;1;1;1
V539;1;0;4;3
V541;0;1;1;1
V542;0;1;1;3
V543;0;1;1;1
V544;0;1;1;1
V545;0;1;1;1
V56;1;0;2;4
V568;1;0;2;
V569;0;1;1;3
V570;0;1;1;3
V571;1;0;2;
V572;1;0;2;
V573;1;0;2;
V574;2;2;0;4
V575;1;0;2;
V576;1;0;2;
V577;1;0;2;
V581;1;0;2;
V596;2;2;0;4
V597;2;2;0;4
V598;1;0;4;3
V6;2;2;0;4
V632;1;0;2;
V634;1;0;2;
V635;2;2;0;1
V637;1;0;4;2
V658;2;2;0;4
V684;0;1;1;3
V685;1;0;2;
V686;0;1;1;2
V688;1;0;2;
V689;1;0;2;
V69;0;3;3;3
V7;2;2;0;4
V704;0;1;1;3
V706;2;2;0;4
V707;0;1;1;2
V71;1;0;4;1
V72;0;3;3;1
V720;2;2;0;4
V721;0;1;1;1
V722;1;0;2;
V725;1;0;2;
V729;1;0;2;
V730;1;0;2;
V731;1;0;2;
V733;2;2;0;1
V735;2;2;0;4
V736;2;2;0;4
V737;0;1;1;3
V738;0;1;1;1
V739;0;3;3;3
V742;1;0;2;
V745;1;0;2;
V755;1;0;2;
V756;1;0;2;
V757;1;0;2;
V761;1;0;2;
V763;0;1;1;3
V77;0;3;3;3
V778;1;0;2;
V782;1;0;2;
V785;1;0;2;
V79;0;3;3;1
V790;2;2;0;4
V794;2;2;0;1
V8;0;3;3;1
V800;1;0;2;
V82;0;3;3;1
V90;0;3;3;3
V91;0;3;3;1
V95;2;2;0;4
