ID Strain;Year;Region;Animal species of origin;Organ of origin;ST;Species;Putative Subspecies;LANCEFIELD GROUP;Haemolysis;2223,140967;2241,073989;2262,75751;2679,802856;2978,296408;3159,441237;3354,28405;3364,608472;3397,909861;3418,174965;3443,92179;3952,786854;4091,36986;4451,322399;4475,014345;4490,070134;4515,266689;4539,794508;4744,086475;5052,231151;5362,981449;5914,103743;5959,116466;6312,288749;6326,214406;6710,341788;6730,906818;6768,620734;6797,381802;6838,493584;6889,619768;6942,146487;7386,929024;7525,518221;7905,893368;8182,839667;9030,351844;9073,208159;9487,183195;10103,20284;10400,80576;10491,16654;10930,54833;13276,73249;14943,03835;15048,89449;Eritromicina;Ceftiofur;Tetraciclina;Gentamicina;Penicillina;Ampicillina;Sulfametossazolo_trimethoprim;Clindamicina;Enrofloxacin;aad(6);ANT(6)-Ia;APH(2'')-IIIa;APH(3')-IIIa;catS;dfrF;E. faecalis chloramphenicol acetyltransferase;Erm(47);ErmB;fexA;L._reuteri cat-TC;lmrP;lnuC;lnuD;lsaC;lsaE;mefE;optrA;poxtA;SAT-4;tet(40);tet(L);tetM;tetO;tetS;tetT;vatE;fbp54;gbs0630;gbs0631;gbs0632;hasC;lmb;mf2;mf3;scpA;sda;ska;slo;smeZ;spec;speg;spek;spel;spem
V13;ante 2004;NA;Dog;Urine;ST13;Streptococcus_canis;Streptococcus canis;G;b;0,000664776;0,000180175;0,000198368;5,94077E-05;0,000864876;0,000496842;0,000197138;0,000272263;0,000577684;0,000197883;9,37776E-05;0,000806352;0,000503605;0,001232617;0,000283977;0,000385556;0,000384218;0,000194587;0,000630564;0,00030952;4,65202E-05;0,00023592;0,001131064;9,40218E-05;0,000554072;0,000264107;0,000170131;0,000165537;0,000662564;0,000209612;0,000102564;0,000144586;0,000164119;0,000300968;0,00081942;0,000456766;0,000206335;0,00013349;0,000586843;0,000179587;6,53054E-05;6,52972E-05;0,000171856;7,61476E-05;5,78939E-05;0,000142108;NS;S;NS;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
V142;2008;NA;Dog;Urine;ST23;Streptococcus_canis;Streptococcus canis;G;b;0,000647775;0,000156261;0,000192322;0,000400101;0,000698123;0,000414411;0,000684085;0,000349398;0,000617011;0,000493518;0,000160704;0,000640756;0,000499043;0,001304906;0,000385674;0,00036596;0,000491335;0,000342085;0,0004198;0,000262502;0,000622971;0,000100813;0,001018057;0,00012611;0,000590039;0,000985615;0,000414391;0,000391317;0,000771005;0,000546481;0,000185833;0,00028798;0,00029144;0,000308724;0,000712077;0,000505307;0,000219232;0,000205339;0,000465215;0,000193283;0,000141935;0,000115784;0,000165381;6,70315E-05;6,69157E-05;0,000194467;NS;S;S;S;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V151;2008;NA;Dog;Ear;ST95;Streptococcus_canis;Streptococcus canis;G;b;0,000545034;0,000331429;0,000203655;0,000276887;0,000612664;0,00046441;0,000278756;0,001031183;0,000624113;0,000408692;0,000175785;0,000641164;0,000559363;0,001034871;0,000320317;0,000297389;0,000403446;0,000376143;0,000581969;0,000325885;0,000401194;0,000185486;0,000828933;9,63355E-05;0,00053915;0,000503625;0,001329687;0,000568;0,000746336;0,000448883;0,000200561;0,000307839;0,000156619;0,000114569;0,000676649;0,000512053;0,00026117;0,000262881;0,000585009;0,000235417;0,000198068;0,000151784;0,000208406;8,43715E-05;9,21027E-05;6,93318E-05;S;S;S;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
V160;2011;NA;Dog;Skin;ST15;Streptococcus_canis;Streptococcus canis;G;b;0,000509415;0,000190837;0,000193305;0,000266102;0,000489427;0,00035782;0,000627535;0,000691685;0,000563791;0,000610521;0,000185252;0,000647664;0,000658702;0,000995332;0,00034166;0,000263535;0,00044133;0,000399949;6,28556E-05;0,000332847;0,000402685;0,000566332;0,000705101;0,000128746;0,000576151;0,000870295;0,000780145;0,000353881;0,000706588;0,000656543;0,00019618;0,000316397;0,000316425;0,000212064;0,000711167;0,000635221;0,000311352;0,000311698;8,30652E-05;0,000241239;0,000242255;0,000187479;0,000244515;8,24892E-05;7,47609E-05;0,000135981;S;S;NS;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
V161;2011;NA;Cat;Lung;ST9;Streptococcus_canis;Streptococcus canis;G;b;0,000516653;0,000118323;0,000157983;0,000162938;0,00060973;0,000501652;0,000620762;0,000314634;0,000507252;0,00063798;0,000180122;0,000679128;0,000492337;0,001046058;0,000259766;0,000259828;0,000394184;0,000342976;0,000718458;0,000362102;0,000254195;8,03512E-05;0,000850276;9,93001E-05;0,000563896;0,000854942;0,000324134;0,000304719;0,000622286;0,000858435;0,00023074;0,000230577;4,19298E-05;0,000348606;0,000712684;0,00047687;0,000205889;0,000224037;0,00071091;0,000241603;0,00015577;0,00011591;0,000153606;9,34226E-05;7,17271E-05;0,000203245;S;S;S;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
V175;2018;NA;Dog;Septicemia;ST13;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis;C;b;0,000633761;0,000180422;0,000215171;4,51922E-05;0,000752491;0,000374811;0,000802615;0,000458417;0,000633419;0,000225375;0,000135622;0,00075405;0,000523971;0,001195764;0,000527654;0,000362447;0,000357497;0,000269446;0,000626127;0,000362805;5,13482E-05;0,000300288;0,001038428;0,000591026;0,000139928;0,001121671;0,000475865;0,000378253;0,000764518;0,000286265;0,000155564;0,000190398;0,000407561;0,000145966;0,000799908;0,000497769;0,000213132;0,000179581;0,000626043;0,000267841;8,58416E-05;9,23368E-05;0,000188424;0,000105214;6,86373E-05;8,61952E-05;S;S;NS;S;S;S;S;S;S;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
V186;2019;NA;Dog;Ear;ST9;Streptococcus_canis;Streptococcus canis;G;b;0,000436754;0,000124396;0,000147817;0,000109379;0,000526037;0,000468643;0,00057962;0,000297295;0,000480161;0,000245375;0,000132801;0,000552212;0,000512642;0,000943866;0,000277982;0,000288993;0,000420392;0,000387345;0,000799624;0,000367429;0,000154704;9,19317E-05;0,000785427;9,7578E-05;0,000513626;0,000846948;0,000355849;0,000330031;0,000625049;0,000310537;0,000134306;0,000207497;0,000350542;0,000184631;0,000636813;0,000514186;0,000275757;0,000295827;0,000837945;0,000258918;0,000201793;0,000172864;0,000227412;8,70372E-05;0,000108399;0,000113252;S;S;S;S;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
V188;2019;NA;Dog;Intestine;ST240;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. equisimilis;A;b;0,000503577;0,000185031;0,000144251;0,00014703;0,000603712;0,000298729;0,000187837;0,000691109;0,000606648;0,000698886;0,000177684;0,000624015;0,000493606;0,001287764;0,000368297;0,000370279;0,000293714;0,000235154;0,000487523;0,000332039;0,000267927;0,000253476;0,001070723;0,000621823;0,000147036;0,00039419;0,001070671;0,000498708;0,000941015;0,001176581;0,000360153;0,000288546;0,000118169;0,000109792;0,000860938;0,000581018;0,000221632;0,00019629;0,000643555;0,000289466;0,000105041;9,09877E-05;0,000186875;4,76689E-05;6,68056E-05;7,55237E-05;S;S;S;S;S;S;S;S;S;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
V190;2019;Lazio;Bovine;Milk;ST706;Streptococcus_dysgalactiae;Streptococcus dysgalactiae subsp. dysgalactiae;C;a;0,000593434;0,000228696;0,000135294;0,000190493;9,53812E-05;0,00024807;0,0002457;0,001054839;0,00068357;0,000408026;0,000420178;0,000674051;0,00053533;0,001630909;0,000617327;0,000408268;0,000441906;0,000314726;0,000560812;0,000309656;0,000404796;0,001039785;0,000243052;0,000569642;0,000122347;0,000622805;0,001649895;0,000656431;0,001052391;0,000581412;0,000764646;0,000343754;3,44894E-05;0,000100928;0,000895913;0,000616926;0,000270444;0,000235825;0,000681709;0,00026155;0,000137208;0,000162703;0,000293287;4,23142E-05;9,14491E-05;7,56126E-05;NS;S;NS;NS;S;S;S;S;S;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
V195;2016;Umbria;Bovine;Milk;ST9;Streptococcus_canis;Streptococcus canis;G;b;0,000394916;8,31759E-05;0,000104611;8,17651E-05;0,000447072;0,000350514;0,000642424;0,000323712;0,000497319;0,00040831;0,000139832;0,000593564;0,000399477;0,001161965;0,00026752;0,000233394;0,000333327;0,000313456;0,000667169;0,000451172;0,000194727;0,000127155;0,000865161;0,000111211;0,000569299;0,001224027;0,000459201;0,000454764;0,000815499;0,000742417;0,000230505;0,000194528;0,000295994;0,000531252;0,00078243;0,000497848;0,000182319;0,000215796;0,000837719;0,000345011;0,000173223;0,000134331;0,000156095;7,35746E-05;0,000114816;0,00038141;S;S;NS;NS;S;S;S;S;NS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
