Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
PassiveAggressiveClassifier,0.45161290322580644,0.3412698412698412,,0.4698924731182796,0.05285310745239258
RidgeClassifierCV,0.4838709677419355,0.32142857142857145,,0.4139784946236559,0.013963699340820312
LinearDiscriminantAnalysis,0.41935483870967744,0.31349206349206354,,0.4096774193548387,0.03690052032470703
LogisticRegression,0.45161290322580644,0.3055555555555555,,0.4783410138248848,0.0907583236694336
RidgeClassifier,0.45161290322580644,0.2976190476190476,,0.39921798631476046,0.01196742057800293
CalibratedClassifierCV,0.3870967741935484,0.2936507936507936,,0.3311827956989247,0.6414120197296143
RandomForestClassifier,0.41935483870967744,0.2936507936507936,,0.3440860215053763,0.2851991653442383
SGDClassifier,0.3870967741935484,0.2857142857142857,,0.35714285714285715,0.0937502384185791
LabelSpreading,0.41935483870967744,0.28174603174603174,,0.4027137736815156,0.02094578742980957
LabelPropagation,0.41935483870967744,0.28174603174603174,,0.4027137736815156,0.015921592712402344
BaggingClassifier,0.3225806451612903,0.246031746031746,,0.267741935483871,0.14860296249389648
LGBMClassifier,0.3870967741935484,0.246031746031746,,0.38504864311315923,3.3276474475860596
GaussianNB,0.3225806451612903,0.246031746031746,,0.23225806451612901,0.01795506477355957
Perceptron,0.25806451612903225,0.24206349206349204,,0.2772657450076805,0.03594160079956055
KNeighborsClassifier,0.3548387096774194,0.22222222222222218,,0.34330400782013687,0.016948461532592773
NearestCentroid,0.3225806451612903,0.22222222222222218,,0.35576036866359445,0.010972023010253906
ExtraTreesClassifier,0.3548387096774194,0.22222222222222218,,0.34050179211469533,0.15148210525512695
DecisionTreeClassifier,0.3225806451612903,0.20634920634920634,,0.30351906158357767,0.02796483039855957
BernoulliNB,0.2903225806451613,0.19841269841269837,,0.2660522273425499,0.011968374252319336
SVC,0.3225806451612903,0.1865079365079365,,0.2865275142314991,0.028923511505126953
LinearSVC,0.2903225806451613,0.18253968253968253,,0.3075268817204301,0.14560961723327637
ExtraTreeClassifier,0.16129032258064516,0.09523809523809523,,0.19201228878648233,0.014002084732055664
DummyClassifier,0.12903225806451613,0.047619047619047616,,0.02949308755760369,0.018908977508544922
AdaBoostClassifier,0.12903225806451613,0.047619047619047616,,0.08602150537634408,0.26528406143188477
