Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,0.5161290322580645,0.40079365079365076,,0.5299539170506913,0.09973287582397461
LinearDiscriminantAnalysis,0.45161290322580644,0.3373015873015873,,0.4419354838709677,0.02390909194946289
RandomForestClassifier,0.45161290322580644,0.32936507936507936,,0.39662058371735787,0.31116747856140137
ExtraTreesClassifier,0.45161290322580644,0.32936507936507936,,0.4108923334729787,0.18151021003723145
RidgeClassifierCV,0.4838709677419355,0.32142857142857145,,0.4379276637341153,0.029920578002929688
RidgeClassifier,0.45161290322580644,0.2976190476190476,,0.39921798631476046,0.02094411849975586
GaussianNB,0.3548387096774194,0.2698412698412698,,0.256989247311828,0.021941423416137695
Perceptron,0.3225806451612903,0.26587301587301587,,0.3258064516129032,0.06482553482055664
NearestCentroid,0.3225806451612903,0.246031746031746,,0.3665130568356375,0.01595759391784668
LGBMClassifier,0.3870967741935484,0.246031746031746,,0.3742959549411162,1.414599895477295
LabelPropagation,0.3870967741935484,0.2341269841269841,,0.39170506912442393,0.020943164825439453
LabelSpreading,0.3870967741935484,0.2341269841269841,,0.39170506912442393,0.019986867904663086
PassiveAggressiveClassifier,0.2903225806451613,0.21825396825396823,,0.33102918586789554,0.05988430976867676
LinearSVC,0.3225806451612903,0.20634920634920634,,0.3548387096774194,0.1257030963897705
BaggingClassifier,0.2903225806451613,0.19841269841269837,,0.21749755620723363,0.13865160942077637
BernoulliNB,0.2903225806451613,0.19841269841269837,,0.2660522273425499,0.018951892852783203
SGDClassifier,0.2903225806451613,0.18253968253968253,,0.3279569892473118,0.04687380790710449
KNeighborsClassifier,0.3225806451612903,0.1746031746031746,,0.2927663734115347,0.023897886276245117
CalibratedClassifierCV,0.25806451612903225,0.1746031746031746,,0.1697840426493178,0.6155152320861816
SVC,0.25806451612903225,0.14285714285714285,,0.13130095710740872,0.04886937141418457
ExtraTreeClassifier,0.25806451612903225,0.1388888888888889,,0.2516129032258065,0.016001224517822266
DecisionTreeClassifier,0.22580645161290322,0.09523809523809523,,0.23225806451612904,0.0316770076751709
DummyClassifier,0.12903225806451613,0.047619047619047616,,0.02949308755760369,0.015955209732055664
AdaBoostClassifier,0.12903225806451613,0.047619047619047616,,0.093841642228739,0.30419492721557617
